class,mean,median,max,min,90percentile,std,notnans
class0,0.0843,0.0843,0.0843,0.0843,0.0843,0.0000,1.0000
class1,0.0808,0.0808,0.0808,0.0808,0.0808,0.0000,1.0000
class2,0.1120,0.1120,0.1120,0.1120,0.1120,0.0000,1.0000
class3,0.0863,0.0863,0.0863,0.0863,0.0863,0.0000,1.0000
class4,0.0810,0.0810,0.0810,0.0810,0.0810,0.0000,1.0000
class5,0.0714,0.0714,0.0714,0.0714,0.0714,0.0000,1.0000
class6,0.0747,0.0747,0.0747,0.0747,0.0747,0.0000,1.0000
class7,0.1185,0.1185,0.1185,0.1185,0.1185,0.0000,1.0000
class8,0.0783,0.0783,0.0783,0.0783,0.0783,0.0000,1.0000
class9,0.0555,0.0555,0.0555,0.0555,0.0555,0.0000,1.0000
class10,0.1125,0.1125,0.1125,0.1125,0.1125,0.0000,1.0000
class11,0.0786,0.0786,0.0786,0.0786,0.0786,0.0000,1.0000
class12,0.0323,0.0323,0.0323,0.0323,0.0323,0.0000,1.0000
class13,0.0678,0.0678,0.0678,0.0678,0.0678,0.0000,1.0000
class14,0.0264,0.0264,0.0264,0.0264,0.0264,0.0000,1.0000
mean,0.0774,0.0774,0.0774,0.0774,0.0774,0.0000,1.0000
