class,mean,median,max,min,90percentile,std,notnans
class0,0.0001,0.0000,0.0061,0.0000,0.0001,0.0006,100.0000
class1,0.0049,0.0019,0.2413,0.0004,0.0049,0.0238,100.0000
class2,0.0166,0.0028,0.9821,0.0005,0.0084,0.1022,99.0000
class3,0.0034,0.0024,0.0165,0.0005,0.0074,0.0031,100.0000
class4,0.1105,0.0112,0.9993,0.0011,0.3716,0.2647,100.0000
class5,0.0417,0.0274,0.4713,0.0049,0.0834,0.0543,100.0000
class6,0.0020,0.0014,0.0227,0.0002,0.0039,0.0027,100.0000
class7,0.0304,0.0042,1.0000,0.0006,0.0352,0.1145,100.0000
class8,0.0050,0.0035,0.0725,0.0004,0.0086,0.0076,100.0000
class9,0.0183,0.0122,0.1253,0.0019,0.0349,0.0198,100.0000
class10,0.0477,0.0231,0.5295,0.0049,0.1233,0.0701,100.0000
class11,0.0748,0.0571,0.4201,0.0035,0.1438,0.0647,100.0000
class12,0.0755,0.0488,0.8006,0.0018,0.1585,0.0994,100.0000
class13,0.0731,0.0386,0.9999,0.0031,0.1171,0.1241,100.0000
class14,0.0630,0.0081,0.8519,0.0005,0.1460,0.1624,99.0000
class15,0.0945,0.0217,0.9994,0.0008,0.2842,0.2077,100.0000
mean,0.0414,0.0316,0.2093,0.0051,0.0850,0.0336,100.0000
