filename,class0,class1,class2,class3,class4,class5,class6,class7,class8,class9,class10,class11,class12,class13,class14,class15,mean
amos_0008.nii.gz,0.9985092,0.94480896,0.9411953,0.93265384,0.8150085,0.7714973,0.9696504,0.89672154,0.94519395,0.80307764,0.8785332,0.76245487,0.73019964,0.73214364,0.9466877,0.8588957,0.8704519
amos_0013.nii.gz,0.99662197,0.9490161,0.94300926,0.9368329,0.91472685,0.76479363,0.9731858,0.8955322,0.9366398,0.8700703,0.7955502,0.77,0.77710843,0.65891236,0.9222051,0.6733478,0.86109704
amos_0018.nii.gz,0.99825335,0.9710445,0.95099807,0.9598684,0.9007379,0.81360114,0.9747147,0.9375932,0.94427925,0.87499195,0.82049406,0.6461988,0.75321996,0.7380541,0.921966,0.71491617,0.8700582
amos_0022.nii.gz,0.998535,0.96017003,0.9545141,0.9529602,0.87094563,0.8624559,0.9690103,0.9382436,0.9413638,0.89627653,0.8554357,0.7394669,0.796875,0.85005754,0.7853678,0.90113014,0.8920505
amos_0029.nii.gz,0.9982802,0.9613399,0.9642671,0.9658317,0.9355003,0.8747335,0.9826241,0.96522695,0.9310902,0.9204559,0.87251526,0.8635305,0.81236005,0.75705194,0.96015704,nan,0.91766435
amos_0032.nii.gz,0.9985414,0.96623105,0.96881384,0.9657606,0.9215359,0.87746835,0.9736585,0.9697604,0.94307154,0.9013065,0.8971162,0.83140594,0.8359522,0.8611523,0.9539353,0.85102063,0.9197957
amos_0034.nii.gz,0.99735296,0.953517,0.965372,0.95643646,0.8110868,0.78794134,0.96200323,0.7442147,0.9488478,0.8513776,0.73560125,0.5905383,0.68392855,0.6272299,0.8316274,0.8579434,0.8315637
amos_0040.nii.gz,0.9948076,0.9643058,0.94068336,0.9474005,0.6357143,0.8073563,0.96679354,0.95570785,0.8382992,0.8120028,0.82352304,0.7244786,0.8034188,0.8595041,0.33726314,0.714582,0.8203651
amos_0041.nii.gz,0.9968747,0.95680004,0.9498064,0.94327015,0.5936982,0.7861466,0.9661378,0.8558339,0.900442,0.85767066,0.70101404,0.7091703,0.61887693,0.5843225,0.92039734,0.6278688,0.81052065
amos_0051.nii.gz,0.997939,0.94240665,0.93473756,0.9412606,0.7845052,0.8021542,0.9685029,0.8639581,0.94313514,0.81300557,0.82056224,0.7694146,0.6764706,0.78428024,0.81432086,0.7872811,0.8527459
amos_0056.nii.gz,0.9967863,0.9482968,0.94008976,0.9296372,nan,0.23405088,0.970585,0.8694927,0.93741935,0.81722516,0.43324414,0.6403134,0.72809666,nan,0.9619132,0.8400332,0.8033703
amos_0061.nii.gz,0.99435264,0.9711292,0.64596516,0.9516508,0.92311585,0.83447844,0.94873893,0.9649107,0.91365844,0.8900666,0.8324792,0.6807339,0.725944,0.8348158,0.8485378,0.8855958,0.8653859
amos_0063.nii.gz,0.9972223,0.94992495,0.9514362,0.9424795,0.8955399,0.80242157,0.9617097,0.92006475,0.9099898,0.8547239,0.8658754,0.6646027,0.7113543,0.75490355,0.5748581,0.88101655,0.85238266
amos_0070.nii.gz,0.99776894,0.963936,0.9506044,0.89013994,nan,0.8644992,0.9777226,0.96967876,0.9436603,0.8459152,0.8989299,0.7646653,0.84683686,0.76387864,0.8372347,0.3455054,0.8573984
amos_0073.nii.gz,0.9983154,0.9637409,0.9622781,0.9543969,0.8610608,0.8660714,0.9748167,0.9509924,0.94376576,0.8391511,0.8408457,0.80668896,0.6672828,0.8562974,0.9091884,0.8388704,0.88961023
amos_0085.nii.gz,0.99804664,0.95695966,0.96025616,0.95133555,0.7381149,0.6322743,0.9643121,0.89242613,0.9220362,0.78554183,0.86873466,0.6504263,0.8125,0.8028901,0.96034306,0.851206,0.85921276
amos_0087.nii.gz,0.9977213,0.9661211,0.95068455,0.94946426,0.9131192,0.8500449,0.9668777,0.9458982,0.92812836,0.9194404,0.8208245,0.68475455,0.7823529,0.8086605,0.960618,0.88619345,0.8956815
amos_0090.nii.gz,0.9984623,0.9660787,0.95979905,0.9674963,0.91349995,0.8813218,0.97896874,0.9528104,0.9463255,0.8842485,0.89543146,0.7478057,0.76086,0.8622337,0.9326837,0.8340954,0.9051326
amos_0106.nii.gz,0.99880946,0.9724872,0.96191615,0.9648698,0.027906977,0.8576372,0.9824924,0.9552842,0.91474473,0.84965235,0.8308565,0.8435518,0.89896375,0.84004295,0.8619393,0.8014674,0.8476639
amos_0108.nii.gz,0.9979429,0.93714345,0.974203,0.9712201,0.6413529,0.6396129,0.9755102,0.9413174,0.94482315,0.9134962,0.8880134,0.60495436,0.85779124,0.763776,0.89481384,0.93599355,0.86762273
amos_0112.nii.gz,0.9987721,0.9794627,nan,0.95942837,0.9211909,0.8770802,0.9786789,0.9236896,0.9666258,0.915391,0.8483987,0.7641682,0.8955944,0.83789945,0.9497592,0.9080159,0.9149437
amos_0117.nii.gz,0.9986963,0.9727312,0.97281516,0.9719029,0.942291,0.8434384,0.9835545,0.76591575,0.9623385,0.90089226,0.84931767,0.8399546,0.77449167,0.77358574,nan,nan,0.8965661
amos_0120.nii.gz,0.9977356,0.9708028,0.96054655,0.9628661,nan,0.9428848,0.98108584,0.94741553,0.960522,0.9474179,0.58952916,0.84308267,0.7708096,0.8782096,0.9801437,0.92895013,0.91080016
amos_0123.nii.gz,0.9987284,0.9807618,0.97778267,0.9736953,0.9032389,0.81060874,0.985092,0.9643394,0.9611016,0.93844,0.92827034,0.8969617,0.7970297,0.9342895,0.8723681,0.8898078,0.9257822
amos_0128.nii.gz,0.99856824,0.98214555,0.9722103,0.97476953,0.9327314,0.91827273,0.98329985,0.9042958,0.97158384,0.9301408,0.9368044,0.8355263,0.87564766,0.8386512,0.9789529,0.90673524,0.933771
amos_0132.nii.gz,0.9984293,0.9077834,0.96229273,0.9557905,0.6827731,0.7935494,0.9282146,0.42039046,0.96162444,0.8360741,0.812784,0.63981587,0.6687435,0.74720705,0.8314581,0.76979643,0.80729544
amos_0136.nii.gz,0.99878365,0.979565,0.96463454,0.9707062,0.8748503,0.84394073,0.9848634,0.9736408,0.94860977,0.93500537,0.91158366,0.815534,0.8699902,0.91251624,0.93121034,0.9562626,0.929481
amos_0140.nii.gz,0.9973997,0.9484275,0.9567081,0.961452,0.88010204,0.7029821,0.9759441,0.9069512,0.94351834,0.93142694,0.87122864,0.80898875,0.77805483,0.7506004,0.7993385,0.86129266,0.87965095
amos_0144.nii.gz,0.999338,0.98082656,0.97484136,0.9765039,0.9295272,0.8587936,0.9864925,0.9702187,0.9677413,0.95653564,0.9019501,0.84965307,0.8787879,0.9121542,0.9400234,0.9163697,0.9374848
amos_0150.nii.gz,0.99769515,0.9643696,0.9659864,0.96840876,nan,0.79018867,0.97216356,0.8999051,0.96124816,0.8809047,0.7800838,0.8014506,0.62922573,0.6700169,0.9740574,0.8518653,0.873838
amos_0155.nii.gz,0.9988555,0.9806825,0.97668904,0.98056793,0.06333498,0.64248985,0.97455,0.9447335,0.9607055,0.888729,0.82707673,0.65011823,0.5463822,0.7036901,0.8949132,0.85927004,0.80579925
amos_0157.nii.gz,0.9984751,0.9795312,0.9645561,0.9717243,0.926196,0.8668639,0.98352575,0.9576736,0.93333817,0.9398502,0.9097554,0.8222013,0.7585034,0.8761749,0.8742817,0.808829,0.9107175
amos_0167.nii.gz,0.9985694,0.94053876,0.94970566,0.9516441,0.9227142,0.8457174,0.98954713,0.933239,0.94828457,0.8968705,0.8699943,0.6666667,0.8939709,0.87107867,0.89123654,0.93088084,0.9062911
amos_0174.nii.gz,0.99897677,0.9778221,0.97103137,0.97245806,0.9525617,0.8865206,0.98497164,0.95813876,0.9526521,0.93924206,0.91678137,0.86359835,0.84750736,0.8618622,0.93611974,0.9235207,0.93398535
amos_0176.nii.gz,0.99895066,0.97230273,0.9686816,0.96601766,0.906588,0.6721344,0.98450714,0.9556761,0.93853056,0.9498685,0.921777,0.8468158,0.8385827,0.9156586,0.71562725,0.87098324,0.90141886
amos_0189.nii.gz,0.99743533,0.9710678,0.97730106,0.9719788,0.90299726,0.7867647,0.9831037,0.85572255,0.96313685,0.8850913,0.8864004,0.69506294,0.58126193,0.7837163,0.5460355,0.6517846,0.83992887
amos_0191.nii.gz,0.9988654,0.97849065,0.95371675,0.9603653,nan,0.9010043,0.9837068,0.95597464,0.95262975,0.88759255,0.88593364,0.790174,0.8606432,0.8766183,0.9841238,0.9385587,0.9272265
amos_0194.nii.gz,0.99832314,0.93740743,0.9597152,0.9426827,0.8684333,0.7547826,0.9783695,0.9439098,0.94881654,0.9006919,0.8765942,0.6760563,0.77310926,0.7950887,0.7884659,0.7805497,0.8701873
amos_0200.nii.gz,0.9989964,0.9818696,0.972644,0.9730396,0.9392257,0.830795,0.9838016,0.8303109,0.96193963,0.93164694,0.86125475,0.8662328,0.8724761,0.9227483,0.97356,0.95200264,0.928284
amos_0202.nii.gz,0.9982804,0.9711932,0.9665316,0.96958685,0.9240475,0.908839,0.9758525,0.95697117,0.9548684,0.92000747,0.8851197,0.8007055,0.90843546,0.8661567,0.8483901,0.93841916,0.9245877
amos_0203.nii.gz,0.99345297,0.95566195,0.93303615,0.9459236,0.028029028,0.8481958,0.9621023,0.95637155,0.9388175,0.9239547,0.5604278,0.5046536,0.60862213,0.5084668,0.9457861,0.85691756,0.77940124
amos_0204.nii.gz,0.99641085,0.92731005,0.92990756,0.945366,0.9053212,0.7910448,0.9683402,0.9056505,0.9065392,0.8925309,0.8490524,0.7548501,0.7366819,0.8224607,0.96417385,0.85598755,0.8844767
amos_0206.nii.gz,0.9982342,0.97077346,0.9706334,0.9686407,0.9277583,0.8672156,0.97383165,0.9585265,0.9582234,0.94552934,0.90054893,0.8255613,0.83309144,0.8540967,0.8830461,0.8802974,0.9197505
amos_0207.nii.gz,0.9974796,0.9568898,0.9364489,0.9407345,0.8609702,0.8280543,0.97156775,0.93373084,0.9508242,0.9179777,0.85703963,0.68039006,0.73699015,0.80454654,0.8903667,0.8746233,0.8836646
amos_0208.nii.gz,0.99634016,0.97017187,0.9396128,0.94574684,0.28063828,0.854407,0.9352301,0.92752296,0.9368163,0.93070257,0.72501886,0.78532606,0.7512388,0.80767107,0.93549913,0.9206349,0.85266113
amos_0216.nii.gz,0.99767846,0.9652285,0.9725139,0.9709207,0.91636527,0.92267555,0.978272,0.9796602,0.97257215,0.89319354,0.9184429,0.82545143,0.8276574,0.8725989,0.5735794,0.8311866,0.90112484
amos_0218.nii.gz,0.9964597,0.95445657,0.94210786,0.9459653,0.81981903,0.8993598,0.9695407,0.88670635,0.9536492,0.9354427,0.7816706,0.71089107,0.7726864,0.79822034,0.8196163,0.9066702,0.88082886
amos_0219.nii.gz,0.9983491,0.9710169,0.95659596,0.9537698,0.9311283,0.92847234,0.9770448,0.9578098,0.96401477,0.800788,0.8592053,0.77789587,0.7806874,0.7703517,0.9401882,0.8954532,0.90392315
amos_0223.nii.gz,0.9974138,0.9559532,0.9553357,0.9629099,0.88512194,0.9118019,0.9674338,0.9549805,0.9600808,0.9277879,0.8918144,0.58064514,0.59130436,0.7983097,0.9270892,0.9242053,0.88701177
amos_0228.nii.gz,0.9982434,0.9279217,0.9714696,0.96497536,0.941896,0.86819506,0.972735,0.9695581,0.9559951,0.8728752,0.871801,0.7317909,0.8437299,0.88180846,0.94618803,0.6224229,0.8963504
amos_0233.nii.gz,0.9984962,0.9757077,0.967151,0.9607718,0.93234515,0.89497054,0.96915185,0.9786643,0.9573046,0.90717125,0.8786989,0.7532467,0.8273973,0.8112639,0.94021434,0.9075235,0.91625494
amos_0238.nii.gz,0.99602544,0.9560743,0.9372363,0.9226632,0.9150664,0.81617284,0.9600519,0.9153235,0.94538015,0.8647385,0.8863223,0.38480696,0.7104159,0.8591532,0.91435117,0.6916346,0.85471356
amos_0244.nii.gz,0.99849594,0.9660019,0.9617754,0.9648015,0.9497541,0.85796815,0.9733438,0.97074527,0.94310206,0.9280209,0.8495376,0.8169935,0.8433359,0.7669333,0.95693195,0.79424745,0.90887433
amos_0247.nii.gz,0.99885345,0.9783598,0.97513634,0.97233963,0.93751454,0.87910026,0.98326445,0.9519325,0.9649243,0.95793885,0.8716549,0.82106686,0.8430161,0.8984385,0.9444749,nan,0.9318677
amos_0250.nii.gz,0.9979915,0.96486735,0.96777254,0.9720134,0.96270216,0.83487797,0.97911453,0.955805,0.9576568,0.91590834,0.8808991,0.56273764,0.85330075,0.8044763,0.84525955,0.6816715,0.8835659
amos_0255.nii.gz,0.9981003,0.960035,0.95351607,0.95226693,0.9144151,0.826111,0.97266054,0.9433196,0.9335967,0.9306443,0.8642614,0.5464441,0.7531937,0.83250415,0.9304231,0.70537525,0.87605417
amos_0257.nii.gz,0.9973584,0.9733624,0.96733725,0.96492493,0.90547764,0.907277,0.9723517,0.966423,0.94774806,0.91402674,0.7533243,0.7961973,0.90331125,0.8441837,0.9769612,0.89545506,0.9178575
amos_0258.nii.gz,0.99651754,0.98086214,0.9566092,0.9422347,0.9152961,0.8165261,0.96814585,0.46420482,0.96148175,0.917055,0.70209855,0.88988096,0.75289315,0.5848257,0.9352945,0.9030765,0.85543764
amos_0278.nii.gz,0.99836886,0.9633787,0.97082406,0.97320664,0.96004176,0.90097845,0.970731,0.95567954,0.96653634,0.95348835,0.9276954,0.89191645,0.5648855,0.8644208,0.9665152,0.9375071,0.9228859
amos_0280.nii.gz,0.99759394,0.9714768,0.97074974,0.9678645,0.94736844,0.88765293,0.9702995,0.9814742,0.96198165,0.88416225,0.90802103,0.5854545,0.8293613,0.9023009,0.97744775,0.90386266,0.915442
amos_0283.nii.gz,0.99706465,0.9623485,0.9628092,0.9667975,0.9005933,0.86708343,0.9724717,0.9397307,0.94993013,0.94122267,0.884755,0.76418245,0.7445009,0.86890495,0.66358876,0.8537954,0.88998616
amos_0284.nii.gz,0.998019,0.9666937,0.96844983,0.96617,0.9409611,0.86455697,0.97872007,0.95735073,0.9541438,0.8708731,0.8052082,0.8396009,0.8671642,0.8381578,0.91793376,0.8842155,0.9136387
