filename,class0,class1,class2,mean
BraTS2021_00006,0.9471636,0.9791522,0.9841206,0.97014546
BraTS2021_00014,0.79808307,0.7997449,0.8932998,0.8303759
BraTS2021_00028,0.85562444,0.90060747,0.76035213,0.8388613
BraTS2021_00054,0.78831303,0.9218059,0.9358188,0.8819793
BraTS2021_00061,0.76330274,0.9464295,0.703191,0.80430776
BraTS2021_00077,0.9554704,0.97810465,0.9653963,0.9663238
BraTS2021_00084,0.897967,0.927047,0.8588098,0.89460796
BraTS2021_00089,0.9644372,0.97400546,0.9101676,0.9495368
BraTS2021_00095,0.93735576,0.9826556,0.97699624,0.96566916
BraTS2021_00098,0.6259886,0.76563144,0.8070466,0.7328889
BraTS2021_00102,0.70959264,0.66950136,0.81392765,0.7310073
BraTS2021_00108,0.7819442,0.8009317,0.9050643,0.82931346
BraTS2021_00112,0.7005668,0.7653963,0.9276945,0.7978859
BraTS2021_00115,0.9525901,0.9813818,0.97692966,0.9703005
BraTS2021_00117,0.7342883,0.77111244,0.90289843,0.8027663
BraTS2021_00121,0.95226115,0.9640953,0.93478274,0.95037967
BraTS2021_00123,0.95291656,0.97131526,0.96105343,0.9617617
BraTS2021_00124,0.4860013,0.9659975,0.8996554,0.78388476
BraTS2021_00154,0.8095436,0.9018452,0.94399476,0.88512784
BraTS2021_00166,0.9342094,0.9602179,0.9255522,0.93999314
BraTS2021_00177,0.9585799,0.985673,0.9859139,0.97672224
BraTS2021_00201,0.9379128,0.976399,0.9834992,0.9659371
BraTS2021_00217,0.9884948,0.98898226,0.9834383,0.9869718
BraTS2021_00219,0.98000574,0.9860648,0.9467054,0.97092533
BraTS2021_00230,0.8684051,0.9591137,0.9554912,0.92767
BraTS2021_00236,0.9468878,0.9626255,0.95616597,0.9552264
BraTS2021_00247,0.92603886,0.9383642,0.9662261,0.943543
BraTS2021_00261,0.9800283,0.99242204,0.97435135,0.9822672
BraTS2021_00266,0.94151765,0.9782565,0.9786788,0.966151
BraTS2021_00269,0.9630611,0.977231,0.98594505,0.97541237
BraTS2021_00270,0.95401156,0.9539166,0.8773701,0.92843276
BraTS2021_00271,0.95805305,0.94662035,0.9723669,0.95901346
BraTS2021_00273,0.9197654,0.97432935,0.9768719,0.9569889
BraTS2021_00284,0.7794118,0.7541507,0.80556965,0.7797107
BraTS2021_00294,0.96049863,0.9817974,0.9905121,0.9776027
BraTS2021_00297,0.815678,0.92734915,0.92649746,0.88984156
BraTS2021_00317,0.9735517,0.9848431,0.97808504,0.9788266
BraTS2021_00320,0.82285714,0.91977286,0.7998832,0.8475044
BraTS2021_00331,0.4935484,0.15013537,0.76709545,0.47025976
BraTS2021_00347,0.9522843,0.98167163,0.97549045,0.96981543
BraTS2021_00359,0.97516763,0.9849585,0.98752743,0.98255116
BraTS2021_00378,0.9160703,0.93248856,0.950589,0.93304926
BraTS2021_00392,0.94234926,0.97136223,0.97052526,0.96141225
BraTS2021_00403,0.94204086,0.9696914,0.9727146,0.9614823
BraTS2021_00410,0.9586145,0.9780122,0.8761773,0.9376013
BraTS2021_00414,0.889488,0.9392576,0.97411966,0.93428844
BraTS2021_00426,0.9747169,0.98610514,0.9845215,0.9817812
BraTS2021_00445,0.97640437,0.9797928,0.98345864,0.9798853
BraTS2021_00451,0.9456762,0.9662125,0.98361135,0.96516675
BraTS2021_00453,0.94156307,0.9635432,0.9803602,0.9618222
BraTS2021_00455,0.964331,0.9766459,0.9821979,0.97439164
BraTS2021_00457,0.95444936,0.9791728,0.9749315,0.9695179
BraTS2021_00472,0.91033787,0.9623171,0.94526005,0.939305
BraTS2021_00488,0.9094227,0.963161,0.9326921,0.9350919
BraTS2021_00493,0.86116457,0.91403306,0.19688563,0.6573611
BraTS2021_00501,0.87335587,0.92816705,0.869876,0.8904664
BraTS2021_00517,0.95753187,0.96123916,0.9683819,0.9623843
BraTS2021_00524,0.8776237,0.9701177,0.94550127,0.9310809
BraTS2021_00526,0.89489245,0.9693971,0.9617883,0.94202596
BraTS2021_00547,0.914143,0.9764346,0.9499379,0.94683844
BraTS2021_00554,0.9561936,0.9884416,0.9621188,0.968918
BraTS2021_00559,0.92257696,0.96721786,0.8375806,0.90912515
BraTS2021_00570,0.8248665,0.91320676,0.90280616,0.88029313
BraTS2021_00584,0.9396949,0.9400687,0.8961402,0.92530125
BraTS2021_00599,0.9336966,0.966548,0.96599567,0.9554135
BraTS2021_00626,0.96937686,0.97705555,0.97638524,0.97427255
BraTS2021_00628,0.9451146,0.95874554,0.9029232,0.9355944
BraTS2021_00638,0.9480159,0.95104563,0.84681016,0.9152906
BraTS2021_00640,0.9216108,0.98015094,0.9100803,0.93728065
BraTS2021_00641,0.9701502,0.98654115,0.9407118,0.965801
BraTS2021_00642,0.9282474,0.96006507,0.76197696,0.8834298
BraTS2021_00656,0.63627577,0.3977304,0.9508463,0.66161746
BraTS2021_00680,0.94989187,0.9590494,0.9485908,0.95251065
BraTS2021_00687,0.9315587,0.9623674,0.9717367,0.95522094
BraTS2021_00723,0.8982463,0.9620385,0.93783903,0.93270797
BraTS2021_00724,0.9448299,0.9798954,0.967693,0.96413946
BraTS2021_00727,0.891156,0.96328163,0.9717716,0.9420697
BraTS2021_00729,0.92716855,0.96070343,0.90864587,0.9321726
BraTS2021_00732,0.88127583,0.892803,0.927365,0.9004813
BraTS2021_00742,0.85925716,0.92652565,0.9344954,0.90675944
BraTS2021_00753,0.6624324,0.67107666,0.6848689,0.6727926
BraTS2021_00756,0.93359166,0.973246,0.95732385,0.9547205
BraTS2021_00765,0.8653669,0.9103924,0.932981,0.9029134
BraTS2021_00788,0.9279922,0.9370293,0.9139328,0.9263181
BraTS2021_00795,0.85577106,0.8695652,0.9258474,0.88372785
BraTS2021_00799,0.961268,0.9770816,0.97947216,0.9726073
BraTS2021_00802,0.95860565,0.9690469,0.8972934,0.94164866
BraTS2021_00809,0.9729161,0.9842573,0.98698056,0.9813846
BraTS2021_00816,0.9782439,0.98861563,0.9900286,0.9856294
BraTS2021_00840,0.89236945,0.53131896,0.9510135,0.7915673
BraTS2021_00999,0.76700085,0.8364528,0.8845613,0.8293383
BraTS2021_01001,0.9141603,0.9854857,0.9811138,0.96025324
BraTS2021_01005,0.94921046,0.97017133,0.9624046,0.9605954
BraTS2021_01007,0.9469274,0.97032434,0.9660846,0.9611122
BraTS2021_01008,0.9671878,0.9763615,0.9215754,0.9550416
BraTS2021_01016,0.95691526,0.9802863,0.9761803,0.9711273
BraTS2021_01019,0.97466815,0.97938305,0.98528856,0.97977996
BraTS2021_01020,0.9648156,0.9734212,0.9886447,0.9756272
BraTS2021_01026,0.897583,0.96840364,0.9822236,0.94940335
BraTS2021_01028,0.9294335,0.9607616,0.9193504,0.93651515
BraTS2021_01052,0.9699281,0.98664623,0.96672016,0.9744315
BraTS2021_01057,0.91711694,0.96962905,0.9274428,0.9380629
BraTS2021_01059,0.93588644,0.9346923,0.8555227,0.90870047
BraTS2021_01064,0.5180375,0.58129495,0.6927394,0.5973573
BraTS2021_01077,0.66132265,0.66267467,0.9233788,0.7491253
BraTS2021_01078,0.906552,0.9862443,0.9635396,0.95211196
BraTS2021_01080,0.9376957,0.96786153,0.93810844,0.94788855
BraTS2021_01088,0.9437653,0.9601214,0.9759564,0.95994765
BraTS2021_01091,0.8672406,0.884058,0.6783834,0.809894
BraTS2021_01107,0.72925717,0.8430719,0.9555784,0.8426358
BraTS2021_01115,0.9631114,0.97636753,0.9598947,0.96645784
BraTS2021_01126,0.98206174,0.9854603,0.98360145,0.98370785
BraTS2021_01129,0.97305906,0.98947334,0.9845387,0.982357
BraTS2021_01130,0.95701015,0.9783447,0.92938334,0.9549127
BraTS2021_01131,0.93660074,0.97735864,0.9729361,0.96229845
BraTS2021_01142,0.9103955,0.9590632,0.9637153,0.9443913
BraTS2021_01153,0.9527284,0.9812974,0.9664187,0.9668148
BraTS2021_01154,0.9000197,0.90369517,0.57359517,0.79243666
BraTS2021_01170,0.8549367,0.8104362,0.9303981,0.86525697
BraTS2021_01176,0.0,0.88676983,0.96831477,0.61836153
BraTS2021_01182,0.7187141,0.6146218,0.8873003,0.740212
BraTS2021_01203,0.86303735,0.9567547,0.92096496,0.91358566
BraTS2021_01206,0.82957315,0.9312886,0.9384234,0.8997617
BraTS2021_01212,0.8608619,0.929082,0.8808944,0.8902795
BraTS2021_01222,0.74260163,0.88391113,0.8212755,0.8159294
BraTS2021_01225,0.944959,0.9673302,0.9209852,0.9444248
BraTS2021_01255,0.9021213,0.9021213,0.7305822,0.8449416
BraTS2021_01256,0.88332903,0.9735434,0.97054935,0.9424739
BraTS2021_01258,0.84717166,0.9334868,0.9473738,0.90934414
BraTS2021_01262,0.8471532,0.94025505,0.74950564,0.845638
BraTS2021_01263,0.79891187,0.90713054,0.9380559,0.8813661
BraTS2021_01286,0.9497484,0.97476506,0.95542747,0.9599803
BraTS2021_01293,0.46148512,0.7589555,0.8034298,0.6746235
BraTS2021_01295,0.9330459,0.9728493,0.9551156,0.95367026
BraTS2021_01301,0.96518266,0.97077924,0.966021,0.96732765
BraTS2021_01302,0.92819774,0.9420895,0.95094866,0.940412
BraTS2021_01303,0.93110263,0.97396094,0.959837,0.95496684
BraTS2021_01306,0.8863372,0.8922096,0.97057545,0.916374
BraTS2021_01307,0.97766954,0.9864971,0.9881473,0.98410463
BraTS2021_01317,0.9502812,0.9760391,0.98634666,0.97088903
BraTS2021_01326,0.9852278,0.9903423,0.9789147,0.9848283
BraTS2021_01329,0.9498434,0.98613566,0.9853329,0.9737707
BraTS2021_01333,0.8951175,0.9044474,0.9221065,0.90722376
BraTS2021_01335,0.9499868,0.96546036,0.98760074,0.96768266
BraTS2021_01336,0.9467599,0.97857016,0.98172253,0.9690175
BraTS2021_01340,0.9744316,0.98475766,0.97271276,0.97730064
BraTS2021_01345,0.93497103,0.9764259,0.9150077,0.94213486
BraTS2021_01346,0.97324103,0.9922945,0.9895613,0.98503226
BraTS2021_01353,0.9654943,0.9783401,0.9709491,0.9715945
BraTS2021_01354,0.97279376,0.9898106,0.9530567,0.97188693
BraTS2021_01356,0.96079755,0.98777324,0.96241313,0.9703279
BraTS2021_01357,0.97090006,0.9918594,0.9864064,0.9830553
BraTS2021_01360,0.963174,0.9776673,0.9668677,0.9692363
BraTS2021_01364,0.89402014,0.93046355,0.2871297,0.7038711
BraTS2021_01365,0.7059916,0.7196691,0.6294166,0.68502575
BraTS2021_01373,0.95236564,0.9772133,0.94423693,0.9579387
BraTS2021_01388,0.96877736,0.99027175,0.9837325,0.9809272
BraTS2021_01390,0.93629223,0.97025895,0.969456,0.958669
BraTS2021_01398,0.97892296,0.98368967,0.977979,0.9801972
BraTS2021_01406,0.96353775,0.97603893,0.9713859,0.9703209
BraTS2021_01410,0.9676134,0.993806,0.9804657,0.9806283
BraTS2021_01415,0.7504384,0.8908164,0.89754766,0.84626746
