filename,class0,class1,class2,mean
BraTS2021_00006,0.9471517,0.9791821,0.9841063,0.9701467
BraTS2021_00014,0.79808307,0.7997449,0.8932158,0.83034784
BraTS2021_00028,0.85563606,0.9006477,0.76032937,0.838871
BraTS2021_00054,0.78830934,0.9218261,0.935794,0.8819764
BraTS2021_00061,0.7632467,0.94637984,0.7031524,0.8042596
BraTS2021_00077,0.9554838,0.9781137,0.96539664,0.9663314
BraTS2021_00084,0.897967,0.92706317,0.8587781,0.8946028
BraTS2021_00089,0.96446484,0.97400546,0.9101796,0.94955
BraTS2021_00095,0.93737006,0.9826556,0.9769942,0.96567327
BraTS2021_00098,0.62592083,0.76564556,0.807073,0.7328798
BraTS2021_00102,0.7090272,0.66950136,0.81389844,0.73080903
BraTS2021_00108,0.7820832,0.8009317,0.9050643,0.82935977
BraTS2021_00112,0.7005101,0.76546514,0.92770064,0.7978919
BraTS2021_00115,0.95254344,0.9813818,0.9769359,0.970287
BraTS2021_00117,0.7342883,0.7711791,0.902906,0.8027911
BraTS2021_00121,0.95226115,0.9640953,0.9347548,0.9503704
BraTS2021_00123,0.9529262,0.9713236,0.9610511,0.961767
BraTS2021_00124,0.4859952,0.9659975,0.8996691,0.7838873
BraTS2021_00154,0.8095177,0.9018452,0.9439761,0.885113
BraTS2021_00166,0.934225,0.9602179,0.9255427,0.9399952
BraTS2021_00177,0.95855147,0.9856526,0.9858973,0.9767005
BraTS2021_00201,0.9379162,0.9763921,0.9834995,0.96593595
BraTS2021_00217,0.9884948,0.98898226,0.98344463,0.98697394
BraTS2021_00219,0.98000574,0.9860648,0.9466017,0.97089076
BraTS2021_00230,0.8683765,0.9591006,0.95546603,0.92764777
BraTS2021_00236,0.9468878,0.9626241,0.95616597,0.95522594
BraTS2021_00247,0.9260833,0.9383878,0.9662334,0.9435682
BraTS2021_00261,0.9800283,0.9924315,0.97435135,0.9822704
BraTS2021_00266,0.94149464,0.9782565,0.9786733,0.96614146
BraTS2021_00269,0.9630195,0.9772303,0.9859765,0.9754088
BraTS2021_00271,0.95803654,0.94660395,0.9723766,0.95900565
BraTS2021_00273,0.9198089,0.97431844,0.97688043,0.95700264
BraTS2021_00284,0.7794118,0.7541507,0.80556893,0.7797105
BraTS2021_00294,0.9605368,0.9817974,0.99051213,0.9776154
BraTS2021_00297,0.8155304,0.927331,0.926488,0.88978314
BraTS2021_00317,0.97358996,0.9848794,0.9780937,0.97885436
BraTS2021_00320,0.82277167,0.91977286,0.7998659,0.8474701
BraTS2021_00331,0.4935484,0.1499077,0.7672624,0.4702395
BraTS2021_00347,0.95228654,0.98165727,0.97550803,0.9698172
BraTS2021_00359,0.97516763,0.9849585,0.9875209,0.982549
BraTS2021_00378,0.9160703,0.93248856,0.9506242,0.93306106
BraTS2021_00392,0.94231564,0.97136223,0.9705146,0.96139747
BraTS2021_00403,0.94204086,0.9696914,0.97270125,0.9614778
BraTS2021_00410,0.95854825,0.9780122,0.87619305,0.93758446
BraTS2021_00414,0.8895288,0.93924856,0.9741154,0.93429756
BraTS2021_00426,0.97474563,0.98614156,0.98453176,0.9818063
BraTS2021_00445,0.97640383,0.9797831,0.98345566,0.97988087
BraTS2021_00451,0.9456739,0.96620697,0.98360467,0.9651618
BraTS2021_00453,0.9415396,0.9635224,0.98036754,0.9618098
BraTS2021_00455,0.9643536,0.9766459,0.9821979,0.9743991
BraTS2021_00457,0.95446426,0.9791949,0.9749376,0.96953225
BraTS2021_00472,0.9104299,0.9623152,0.94526684,0.93933725
BraTS2021_00488,0.9093987,0.963161,0.9327009,0.9350869
BraTS2021_00493,0.86127985,0.914122,0.19688194,0.6574279
BraTS2021_00501,0.87342143,0.9282101,0.8698933,0.89050823
BraTS2021_00517,0.95753187,0.96120405,0.9683928,0.9623763
BraTS2021_00524,0.87760067,0.97010773,0.9454889,0.9310658
BraTS2021_00526,0.89489245,0.9693971,0.9617855,0.942025
