filename,class0,class1,class2,mean
BraTS2021_00006,0.9180049,0.9726185,0.97902375,0.956549
BraTS2021_00014,0.7239067,0.72959405,0.8931231,0.78220797
BraTS2021_00028,0.8479808,0.89961404,0.79735076,0.84831524
BraTS2021_00054,0.80129945,0.94081265,0.9402319,0.8941147
BraTS2021_00061,0.7510623,0.94404125,0.7143471,0.8031502
BraTS2021_00077,0.9633461,0.9816035,0.96300596,0.96931857
BraTS2021_00084,0.8584495,0.8972613,0.88093334,0.8788814
BraTS2021_00089,0.9422692,0.96370804,0.9395986,0.94852525
BraTS2021_00095,0.9421472,0.9843675,0.9781733,0.9682293
BraTS2021_00098,0.66284555,0.79847705,0.8172916,0.759538
BraTS2021_00102,0.74574864,0.74218464,0.8282254,0.77205294
BraTS2021_00108,0.78688526,0.7971765,0.9071132,0.83039165
BraTS2021_00112,0.6562156,0.7352138,0.92488664,0.7721054
BraTS2021_00115,0.9526431,0.9811416,0.9759777,0.9699208
BraTS2021_00117,0.7223647,0.78366566,0.9113754,0.80580187
BraTS2021_00121,0.9472533,0.9609545,0.93532795,0.9478452
BraTS2021_00123,0.9575804,0.9741813,0.9597794,0.963847
BraTS2021_00124,0.48966774,0.9687213,0.89450747,0.78429884
BraTS2021_00154,0.8111819,0.9025102,0.94358253,0.8857582
BraTS2021_00166,0.91722125,0.9524649,0.94205564,0.9372473
BraTS2021_00177,0.9684256,0.9892362,0.9893779,0.98234653
BraTS2021_00201,0.95036936,0.9815674,0.9865006,0.9728125
BraTS2021_00217,0.98932236,0.9913901,0.9848105,0.98850757
BraTS2021_00219,0.97828764,0.98370117,0.9476641,0.96988434
BraTS2021_00230,0.85422486,0.957305,0.9537456,0.9217585
BraTS2021_00236,0.9529531,0.96552116,0.9613815,0.9599519
BraTS2021_00247,0.9091198,0.9311375,0.9625828,0.9342801
BraTS2021_00261,0.9826196,0.9927361,0.9774307,0.98426217
BraTS2021_00266,0.92918783,0.9764922,0.9782879,0.9613226
BraTS2021_00269,0.9691286,0.9815961,0.98507017,0.9785983
BraTS2021_00270,0.93245244,0.9325577,0.8612401,0.90875006
BraTS2021_00271,0.9408719,0.93894047,0.9669855,0.94893265
BraTS2021_00273,0.85420656,0.958709,0.9686611,0.9271922
BraTS2021_00284,0.77857655,0.7606784,0.8005575,0.77993745
BraTS2021_00294,0.96183205,0.9817869,0.9912514,0.97829014
BraTS2021_00297,0.7476285,0.9061975,0.9217318,0.85851926
BraTS2021_00317,0.97514224,0.9877127,0.9818512,0.98156863
BraTS2021_00320,0.81599516,0.92581177,0.81124026,0.85101575
BraTS2021_00331,0.37121212,0.102259815,0.7397069,0.40439296
BraTS2021_00347,0.95281285,0.9829764,0.9772122,0.9710005
BraTS2021_00359,0.97028506,0.9812879,0.9824468,0.97800654
BraTS2021_00378,0.91598773,0.9346861,0.95496815,0.93521404
BraTS2021_00392,0.9242247,0.9636967,0.9630484,0.9503233
BraTS2021_00403,0.9047362,0.9517382,0.9707895,0.94242126
BraTS2021_00410,0.9620856,0.9779679,0.8947402,0.9449312
BraTS2021_00414,0.87954605,0.9624824,0.97673064,0.93958634
BraTS2021_00426,0.9393595,0.9681002,0.96921057,0.95889014
BraTS2021_00445,0.9767345,0.97994846,0.98522353,0.98063546
BraTS2021_00451,0.92745,0.95910317,0.9777686,0.9547739
BraTS2021_00453,0.9239312,0.95422477,0.9696216,0.9492592
BraTS2021_00455,0.96082914,0.9740011,0.98415333,0.9729945
BraTS2021_00457,0.95540243,0.97975594,0.97526085,0.97013974
BraTS2021_00472,0.9108774,0.9637775,0.9361448,0.9369332
BraTS2021_00488,0.8972408,0.961147,0.93058306,0.929657
BraTS2021_00493,0.84816754,0.90847015,0.20991905,0.65551895
BraTS2021_00501,0.830954,0.9093339,0.84335476,0.8612142
BraTS2021_00517,0.96838254,0.97169775,0.9662274,0.96876925
BraTS2021_00524,0.83518726,0.9646807,0.9419134,0.9139271
BraTS2021_00526,0.8978882,0.9715994,0.9605762,0.9433546
BraTS2021_00547,0.9069205,0.9712686,0.9535796,0.94392294
BraTS2021_00554,0.94031376,0.9833817,0.9594697,0.96105504
BraTS2021_00559,0.9013342,0.96445256,0.83779985,0.9011955
BraTS2021_00570,0.814274,0.9099392,0.91212124,0.87877816
BraTS2021_00584,0.9494666,0.9492413,0.91455686,0.9377549
BraTS2021_00599,0.9211276,0.96278465,0.96364075,0.94918436
BraTS2021_00626,0.97207755,0.97993386,0.98420674,0.9787393
BraTS2021_00628,0.93457705,0.94836855,0.9315666,0.93817073
BraTS2021_00638,0.94722205,0.9499643,0.8592886,0.918825
