filename,class0,class1,class2,mean
BraTS2021_00006,0.9874978,0.9636221,0.9471517,0.9660905
BraTS2021_00014,0.0,0.8673642,0.79808307,0.5551491
BraTS2021_00028,0.638402,0.49771005,0.85563606,0.66391605
BraTS2021_00054,0.7131552,0.5348009,0.78830934,0.6787551
BraTS2021_00061,0.594515,0.5287337,0.7632467,0.6288318
BraTS2021_00077,0.9832683,0.946938,0.9554838,0.9618967
BraTS2021_00084,0.73420835,0.7392434,0.897967,0.7904729
BraTS2021_00089,0.94221807,0.76918477,0.96446484,0.8919559
BraTS2021_00095,0.98772985,0.9552224,0.93737006,0.9601075
BraTS2021_00098,0.6464986,0.8050969,0.62592083,0.6925054
BraTS2021_00102,0.025,0.797719,0.7090272,0.51058203
BraTS2021_00108,0.0062695923,0.8958873,0.7820832,0.56141335
BraTS2021_00112,0.5343469,0.8568099,0.7005101,0.6972223
BraTS2021_00115,0.9596306,0.9422668,0.95254344,0.9514803
BraTS2021_00117,0.47746736,0.8477306,0.7342883,0.68649536
BraTS2021_00121,0.5708447,0.91760314,0.95226115,0.8135697
BraTS2021_00123,0.95304674,0.94115883,0.9529262,0.9490439
BraTS2021_00124,0.010215165,0.52143264,0.4859952,0.33921432
BraTS2021_00154,0.81211776,0.9104004,0.8095177,0.84401196
BraTS2021_00166,0.9415194,0.88343513,0.934225,0.91972655
BraTS2021_00177,0.98103714,0.97055197,0.95855147,0.9700468
BraTS2021_00201,0.97946686,0.9704235,0.9379162,0.9626022
BraTS2021_00217,0.63414633,0.98061687,0.9884948,0.86775273
BraTS2021_00219,0.9637973,0.83630115,0.98000574,0.92670137
BraTS2021_00230,0.95048463,0.9133894,0.8683765,0.91075015
BraTS2021_00236,0.96007216,0.9270686,0.9468878,0.94467616
BraTS2021_00247,0.7705751,0.9368085,0.9260833,0.87782234
BraTS2021_00261,0.98602724,0.95778114,0.9800283,0.97461224
BraTS2021_00266,0.9452303,0.95348585,0.94149464,0.946737
BraTS2021_00269,0.9424505,0.9757961,0.9630195,0.96042204
BraTS2021_00270,nan,0.8582591,0.95401156,0.9061353
BraTS2021_00271,0.54462975,0.9496982,0.95803654,0.8174548
BraTS2021_00273,0.9447535,0.9478907,0.9198089,0.9374843
BraTS2021_00284,0.0,0.77573776,0.7794118,0.5183832
BraTS2021_00294,0.98449796,0.987706,0.9605368,0.97758025
BraTS2021_00297,0.98358965,0.75161976,0.8155304,0.8502466
BraTS2021_00317,0.75578403,0.96948576,0.97358996,0.8996199
BraTS2021_00320,0.56932515,0.7616624,0.82277167,0.71791977
BraTS2021_00331,0.065463364,0.5526279,0.4935484,0.37054658
BraTS2021_00347,0.94900954,0.95302665,0.95228654,0.9514409
BraTS2021_00359,0.7665805,0.9812822,0.97516763,0.90767676
BraTS2021_00378,0.95203334,0.9365913,0.9160703,0.9348983
BraTS2021_00392,0.8820274,0.8073711,0.94231564,0.87723804
BraTS2021_00403,0.94989586,0.9295626,0.94204086,0.9404998
BraTS2021_00410,0.7697778,0.8513328,0.95854825,0.8598862
BraTS2021_00414,0.82250464,0.8672411,0.8895288,0.85975814
BraTS2021_00426,0.9442471,0.9764153,0.97474563,0.96513605
BraTS2021_00445,0.9395124,0.9680017,0.97640383,0.9613059
BraTS2021_00451,0.8856396,0.918814,0.9456739,0.9167092
BraTS2021_00453,0.91932774,0.9005407,0.9415396,0.92046934
BraTS2021_00455,0.9309438,0.9725473,0.9643536,0.9559482
BraTS2021_00457,0.92013454,0.9269695,0.95446426,0.93385607
BraTS2021_00472,0.9746523,0.91870344,0.9104299,0.93459517
BraTS2021_00488,0.9353606,0.75358117,0.9093987,0.8661135
BraTS2021_00493,0.8619068,0.08986325,0.86127985,0.60435
BraTS2021_00501,0.92785907,0.85488105,0.87342143,0.8853872
BraTS2021_00517,0.8695652,0.9617829,0.95753187,0.92962664
BraTS2021_00524,0.9704984,0.8404396,0.87760067,0.8961795
BraTS2021_00526,0.84772605,0.93535197,0.89489245,0.8926568
BraTS2021_00547,0.72867024,0.9307883,0.9141292,0.85786253
BraTS2021_00554,0.9843824,0.9404915,0.9561915,0.9603551
BraTS2021_00559,0.96050125,0.67087114,0.922563,0.85131186
BraTS2021_00570,0.94164604,0.83388203,0.8248665,0.86679816
BraTS2021_00584,0.7118644,0.73357546,0.9396949,0.7950449
BraTS2021_00599,0.88604236,0.95246816,0.93371814,0.92407626
