filename,class0,class1,class2,mean
BraTS2021_00006,0.949625,0.9814069,0.97893476,0.9699889
BraTS2021_00014,0.86134833,0.86181223,0.8817482,0.8683029
BraTS2021_00028,0.8400755,0.89761007,0.8338196,0.8571684
BraTS2021_00054,0.7913412,0.9184815,0.9364879,0.8821035
BraTS2021_00061,0.7584714,0.94896173,0.7215121,0.80964845
BraTS2021_00077,0.95578766,0.9780791,0.9674425,0.96710306
BraTS2021_00084,0.8948443,0.9223826,0.91094345,0.90939015
BraTS2021_00089,0.9643798,0.973285,0.89697754,0.9448808
BraTS2021_00095,0.9366898,0.9823883,0.9763629,0.965147
BraTS2021_00098,0.60496444,0.7128833,0.7751375,0.6976617
BraTS2021_00102,0.65639096,0.63626873,0.8538804,0.7155134
BraTS2021_00108,0.7606885,0.7504308,0.90579325,0.80563754
BraTS2021_00112,0.54659635,0.6414532,0.92829764,0.7054491
BraTS2021_00115,0.95006907,0.98002374,0.9749514,0.968348
BraTS2021_00117,0.72455746,0.76514184,0.9185869,0.8027621
BraTS2021_00121,0.95677936,0.9652415,0.9375745,0.95319843
BraTS2021_00123,0.9589195,0.97460574,0.9546025,0.96270925
BraTS2021_00124,0.4889975,0.9643097,0.89390737,0.78240484
BraTS2021_00154,0.782594,0.8954452,0.94414234,0.8740606
BraTS2021_00166,0.9461513,0.9624058,0.95723796,0.95526505
BraTS2021_00177,0.9618244,0.9882652,0.98596877,0.97868615
BraTS2021_00201,0.9501599,0.9825716,0.9862436,0.9729917
BraTS2021_00217,0.98497057,0.98626024,0.98187333,0.984368
BraTS2021_00219,0.9832148,0.98734176,0.94110477,0.9705537
BraTS2021_00230,0.8755582,0.9634225,0.95820814,0.93239623
BraTS2021_00236,0.94900084,0.96342176,0.9546458,0.9556895
BraTS2021_00247,0.932366,0.94486797,0.9747468,0.9506602
BraTS2021_00261,0.9800224,0.99208146,0.9819246,0.9846761
BraTS2021_00266,0.9480725,0.9783488,0.9800102,0.9688105
BraTS2021_00269,0.96458685,0.98024356,0.98095477,0.9752617
BraTS2021_00270,0.9366033,0.93625265,0.8597964,0.9108841
BraTS2021_00271,0.9575028,0.9456182,0.9708326,0.9579845
BraTS2021_00273,0.9422012,0.97633165,0.9790919,0.9658749
BraTS2021_00284,0.7517007,0.76173395,0.8146866,0.7760404
BraTS2021_00294,0.9462199,0.9732968,0.9887819,0.9694329
BraTS2021_00297,0.83357525,0.9346459,0.9326912,0.90030414
BraTS2021_00317,0.9708752,0.9826857,0.9794119,0.97765756
BraTS2021_00320,0.80214864,0.9229894,0.81906515,0.84806776
BraTS2021_00331,0.13761468,0.007951233,0.74698573,0.2975172
BraTS2021_00347,0.94822,0.98060715,0.9737171,0.96751475
BraTS2021_00359,0.97519165,0.98549885,0.9816998,0.9807968
BraTS2021_00378,0.91512525,0.9217463,0.9539556,0.93027574
BraTS2021_00392,0.9490664,0.9747176,0.97214544,0.9653098
BraTS2021_00403,0.96772873,0.9830188,0.9799125,0.9768867
BraTS2021_00410,0.96717507,0.97749615,0.892262,0.9456444
BraTS2021_00414,0.8657907,0.9344523,0.9764105,0.9255512
BraTS2021_00426,0.97835845,0.98712224,0.985156,0.98354554
BraTS2021_00445,0.97484004,0.9774679,0.98259616,0.97830135
BraTS2021_00451,0.9527334,0.97334516,0.98580813,0.9706289
BraTS2021_00453,0.94782805,0.9663127,0.9855427,0.96656114
BraTS2021_00455,0.96533823,0.9757783,0.9848158,0.9753108
BraTS2021_00457,0.9511771,0.97838,0.9698738,0.9664769
BraTS2021_00472,0.89542484,0.96159124,0.9407773,0.9325978
BraTS2021_00488,0.90827376,0.9654964,0.9285519,0.93410736
BraTS2021_00493,0.8707266,0.91951615,0.20651129,0.6655846
BraTS2021_00501,0.8634589,0.9138657,0.8463034,0.87454265
BraTS2021_00517,0.9609119,0.9652558,0.9636842,0.963284
BraTS2021_00524,0.90341496,0.97771335,0.9589762,0.9467015
BraTS2021_00526,0.8928108,0.9682161,0.9569832,0.9393368
BraTS2021_00547,0.9105001,0.9751465,0.9518696,0.94583875
BraTS2021_00554,0.9516061,0.98844755,0.9623766,0.9674768
BraTS2021_00559,0.93076634,0.9711735,0.77373135,0.89189035
BraTS2021_00570,0.851429,0.92642355,0.91406554,0.897306
BraTS2021_00584,0.95964503,0.95941406,0.9081227,0.94239396
BraTS2021_00599,0.9443156,0.9693149,0.97431797,0.9626495
BraTS2021_00626,0.96985614,0.9776765,0.9777373,0.97509
BraTS2021_00628,0.9364374,0.95005316,0.93276715,0.9397526
BraTS2021_00638,0.948586,0.9534012,0.8119145,0.90463394
BraTS2021_00640,0.92103505,0.9793305,0.907256,0.9358738
BraTS2021_00641,0.9694263,0.9867068,0.9260332,0.96072215
BraTS2021_00642,0.9486709,0.9703923,0.7948131,0.9046254
BraTS2021_00656,0.66083115,0.22133389,0.9509933,0.6110528
BraTS2021_00680,0.95701844,0.9644236,0.95389336,0.95844513
BraTS2021_00687,0.9227543,0.9538823,0.9670724,0.947903
BraTS2021_00723,0.8994247,0.9617081,0.9487887,0.9366405
BraTS2021_00724,0.94048876,0.9771354,0.9702297,0.96261793
BraTS2021_00727,0.88889635,0.958717,0.9683025,0.9386386
BraTS2021_00729,0.9530598,0.9736842,0.91106915,0.9459377
