filename,class0,class1,class2,mean
BraTS2021_00006,0.938156,0.9782732,0.9810985,0.96584255
BraTS2021_00014,0.65044075,0.6515697,0.8618764,0.72129565
BraTS2021_00028,0.87007254,0.9209556,0.79736966,0.8627992
BraTS2021_00054,0.80392015,0.93510336,0.93130594,0.8901098
BraTS2021_00061,0.7236723,0.9427225,0.7217609,0.7960519
BraTS2021_00077,0.9552848,0.97739965,0.96628875,0.9663244
BraTS2021_00084,0.90003824,0.9241784,0.91450197,0.91290617
BraTS2021_00089,0.9673953,0.9765033,0.8817996,0.9418995
BraTS2021_00095,0.93528956,0.98243445,0.9773579,0.96502733
BraTS2021_00098,0.58483636,0.72321033,0.77223366,0.6934268
BraTS2021_00102,0.63541293,0.64549917,0.77578634,0.6855662
BraTS2021_00108,0.7839858,0.7935898,0.9062677,0.8279478
BraTS2021_00112,0.577161,0.6752467,0.92794126,0.72678304
BraTS2021_00115,0.9550071,0.98172957,0.977707,0.97148114
BraTS2021_00117,0.73663056,0.7714045,0.91380256,0.80727917
BraTS2021_00121,0.955407,0.96657366,0.93723804,0.95307285
BraTS2021_00123,0.95896715,0.9752548,0.95712584,0.9637826
BraTS2021_00124,0.48364654,0.963507,0.8978624,0.781672
BraTS2021_00154,0.78555715,0.9023096,0.9476598,0.8785088
BraTS2021_00166,0.9479389,0.96418816,0.9563039,0.9561436
BraTS2021_00177,0.96576774,0.9885616,0.98656815,0.9802992
BraTS2021_00201,0.946305,0.97951156,0.9857727,0.97052974
BraTS2021_00217,0.9857215,0.9885104,0.98148376,0.98523855
BraTS2021_00219,0.9821275,0.9870019,0.92721725,0.96544886
BraTS2021_00230,0.86860925,0.960107,0.9595538,0.92942333
BraTS2021_00236,0.95191705,0.9652221,0.9564298,0.95785636
BraTS2021_00247,0.93442994,0.94048506,0.976015,0.95031
BraTS2021_00261,0.9807248,0.9924935,0.9823021,0.98517346
BraTS2021_00266,0.947184,0.9804328,0.9791991,0.96893865
BraTS2021_00269,0.9649311,0.97929054,0.9821004,0.9754407
BraTS2021_00271,0.9581513,0.9486023,0.974988,0.9605805
BraTS2021_00273,0.94200337,0.9791702,0.97960526,0.9669263
BraTS2021_00284,0.76675975,0.7591062,0.8132933,0.77971977
BraTS2021_00294,0.96751446,0.9853992,0.99036634,0.98109335
BraTS2021_00297,0.81670135,0.92564285,0.92996514,0.8907698
BraTS2021_00317,0.96939653,0.9812533,0.9801582,0.97693604
BraTS2021_00320,0.8271124,0.9281411,0.84629786,0.86718386
BraTS2021_00331,0.5966851,0.29448962,0.7422867,0.5444872
BraTS2021_00347,0.9508087,0.98278224,0.9772658,0.9702856
BraTS2021_00359,0.9742211,0.98494637,0.9842932,0.98115355
BraTS2021_00378,0.91429335,0.9296429,0.95891297,0.9342831
BraTS2021_00392,0.9508057,0.9755592,0.97484565,0.96707016
BraTS2021_00403,0.971363,0.9840367,0.9790953,0.978165
BraTS2021_00410,0.9684753,0.97895485,0.9013087,0.94957966
BraTS2021_00414,0.8754011,0.9464217,0.97651035,0.9327777
BraTS2021_00426,0.9772541,0.98566127,0.98413837,0.9823513
BraTS2021_00445,0.9749114,0.9785908,0.9829342,0.97881216
BraTS2021_00451,0.9487955,0.97221804,0.98522043,0.9687447
BraTS2021_00453,0.94583917,0.9661535,0.9862798,0.96609086
BraTS2021_00455,0.9694087,0.9776541,0.9831708,0.9767445
