filename,class0,class1,class2,mean
BraTS2021_00006,0.98011,0.9573338,0.938156,0.9585333
BraTS2021_00014,0.016393442,0.8057799,0.65044075,0.49087134
BraTS2021_00028,0.6111712,0.56450766,0.87007254,0.68191713
BraTS2021_00054,0.7684708,0.4725166,0.80392015,0.68163586
BraTS2021_00061,0.40641934,0.54947394,0.7236723,0.55985516
BraTS2021_00077,0.98449856,0.94765884,0.9552848,0.9624807
BraTS2021_00084,0.7765762,0.815647,0.90003824,0.8307538
BraTS2021_00089,0.943554,0.7172293,0.9673953,0.87605953
BraTS2021_00095,0.98623574,0.95678073,0.93528956,0.9594354
BraTS2021_00098,0.6252368,0.79724795,0.58483636,0.669107
BraTS2021_00102,0.034042552,0.7662219,0.63541293,0.4785591
BraTS2021_00108,0.03448276,0.89761794,0.7839858,0.5720288
BraTS2021_00112,0.56176573,0.81670296,0.577161,0.6518766
BraTS2021_00115,0.9665721,0.94434935,0.9550071,0.95530957
BraTS2021_00117,0.4591879,0.8589227,0.73663056,0.6849137
BraTS2021_00121,0.57394844,0.92000765,0.955407,0.8164544
BraTS2021_00123,0.95769715,0.9366389,0.95896715,0.95110106
BraTS2021_00124,0.01236145,0.4840077,0.48364654,0.32667187
BraTS2021_00154,0.78981847,0.9133812,0.78555715,0.82958555
BraTS2021_00166,0.9688753,0.93035215,0.9479389,0.94905543
BraTS2021_00177,0.98498964,0.9713797,0.96576774,0.97404575
BraTS2021_00201,0.97827786,0.9705744,0.946305,0.9650524
BraTS2021_00217,0.65373963,0.9784316,0.9857215,0.8726309
BraTS2021_00219,0.9699431,0.7898264,0.9821275,0.91396564
BraTS2021_00230,0.94978464,0.93040454,0.86860925,0.91626614
BraTS2021_00236,0.96756446,0.9287664,0.95191705,0.949416
BraTS2021_00247,0.8031277,0.95171016,0.93442994,0.8964226
BraTS2021_00261,0.98659587,0.97001976,0.9807248,0.9791135
BraTS2021_00266,0.95219964,0.95593154,0.947184,0.95177174
BraTS2021_00269,0.9350177,0.9704164,0.9649311,0.95678836
BraTS2021_00271,0.54334694,0.9539389,0.9581513,0.81847906
BraTS2021_00273,0.950354,0.953121,0.94200337,0.9484928
BraTS2021_00284,0.0,0.78378874,0.76675975,0.5168495
BraTS2021_00294,0.9859339,0.98718315,0.96751446,0.98021054
BraTS2021_00297,0.9868945,0.75050765,0.81670135,0.8513679
BraTS2021_00317,0.74766356,0.97084755,0.96939653,0.8959692
BraTS2021_00320,0.5872093,0.81319076,0.8271124,0.7425041
BraTS2021_00331,0.20027332,0.54310495,0.5966851,0.4466878
BraTS2021_00347,0.94666916,0.9555448,0.9508087,0.9510076
BraTS2021_00359,0.7493755,0.9771962,0.9742211,0.90026426
BraTS2021_00378,0.94062984,0.94772923,0.91429335,0.93421745
BraTS2021_00392,0.8962625,0.81509024,0.9508057,0.88738614
BraTS2021_00403,0.9804111,0.9496363,0.971363,0.9671368
BraTS2021_00410,0.8674204,0.8801209,0.9684753,0.9053388
BraTS2021_00414,0.8097627,0.8744845,0.8754011,0.8532161
BraTS2021_00426,0.95934683,0.9759958,0.9772541,0.97086555
BraTS2021_00445,0.940177,0.96632427,0.9749114,0.9604709
BraTS2021_00451,0.880774,0.9291527,0.9487955,0.9195741
BraTS2021_00453,0.92525125,0.8954098,0.94583917,0.92216676
BraTS2021_00455,0.9596413,0.9728518,0.9694087,0.9673006
BraTS2021_00457,0.8679205,0.9150351,0.9423691,0.90844154
BraTS2021_00472,0.96729565,0.9073454,0.8981118,0.9242509
BraTS2021_00488,0.9272018,0.72820455,0.90882975,0.8547454
BraTS2021_00493,0.86960274,0.11295697,0.8740299,0.61886317
BraTS2021_00501,0.9219067,0.80311775,0.86319524,0.86273986
BraTS2021_00517,0.85714287,0.95496374,0.97317034,0.9284256
BraTS2021_00524,0.9755967,0.8631874,0.91344637,0.91741014
BraTS2021_00526,0.8455809,0.9323079,0.90172964,0.8932061
BraTS2021_00547,0.69644266,0.9360099,0.908087,0.8468465
BraTS2021_00554,0.9841205,0.9441388,0.955624,0.9612945
BraTS2021_00559,0.9581148,0.55278957,0.92384535,0.8115832
BraTS2021_00570,0.9484093,0.8603223,0.86086345,0.889865
BraTS2021_00584,0.75301206,0.46183413,0.9569739,0.7239401
BraTS2021_00599,0.9019271,0.9649565,0.9429938,0.9366258
BraTS2021_00626,0.9354839,0.94234455,0.965869,0.9478991
BraTS2021_00628,0.14529915,0.94845337,0.93155694,0.6751032
BraTS2021_00638,0.8064516,0.83057594,0.9553412,0.86412287
BraTS2021_00640,0.98040664,0.5464905,0.9337315,0.82020956
BraTS2021_00641,0.9655766,0.001330377,0.96943724,0.645448
BraTS2021_00642,0.92565054,0.6881244,0.9467829,0.85351926
BraTS2021_00656,0.11988473,0.8933073,0.7599165,0.59103614
BraTS2021_00680,0.8317059,0.9234669,0.9520864,0.90241975
BraTS2021_00687,0.96491134,0.95218736,0.93437004,0.9504896
BraTS2021_00723,0.920455,0.8839599,0.89655507,0.90032333
BraTS2021_00724,0.97363406,0.9479567,0.94460464,0.9553985
BraTS2021_00727,0.96567166,0.9351118,0.90131795,0.9340339
BraTS2021_00729,0.9688716,0.83042824,0.9597579,0.9196859
BraTS2021_00732,0.8195122,0.8477023,0.90354526,0.85691994
BraTS2021_00742,0.89316815,0.9109379,0.8603886,0.8881648
BraTS2021_00756,0.949972,0.8282851,0.94003785,0.90609837
BraTS2021_00765,0.9128542,0.87687486,0.8669989,0.885576
BraTS2021_00788,0.43243244,0.8984815,0.94785964,0.75959116
BraTS2021_00795,0.56537104,0.8101029,0.85631996,0.7439313
BraTS2021_00799,0.94686896,0.9590886,0.9652077,0.9570551
BraTS2021_00802,0.369863,0.7230784,0.96776164,0.68690103
BraTS2021_00809,0.94084704,0.9806529,0.9749971,0.965499
BraTS2021_00816,0.9656978,0.9776535,0.9750562,0.97280246
BraTS2021_00840,0.31578946,0.9233326,0.83868575,0.69260263
BraTS2021_00999,0.7960712,0.68946165,0.77352244,0.7530184
BraTS2021_01001,0.93702453,0.9634924,0.91869676,0.939738
BraTS2021_01005,0.9081803,0.9166587,0.943842,0.9228937
BraTS2021_01007,0.96601844,0.8670927,0.9483119,0.927141
BraTS2021_01008,0.89339435,0.92215204,0.9755956,0.93038064
BraTS2021_01016,0.8803313,0.9242699,0.95622677,0.920276
BraTS2021_01019,0.9658686,0.95443094,0.9714968,0.9639321
BraTS2021_01020,0.97227615,0.9804094,0.974808,0.9758312
BraTS2021_01026,0.9505343,0.96541625,0.9007718,0.93890744
BraTS2021_01028,0.9374249,0.84681875,0.937449,0.90723085
BraTS2021_01052,0.9616684,0.96143633,0.9611245,0.96140975
BraTS2021_01057,0.94159,0.8660819,0.93567204,0.91444796
BraTS2021_01059,0.73150104,0.6615338,0.9253214,0.7727854
BraTS2021_01064,0.5127479,0.6781282,0.49667898,0.5625183
BraTS2021_01078,0.9888752,0.9253277,0.93705666,0.9504199
BraTS2021_01080,0.96579313,0.93568426,0.95153266,0.9510033
BraTS2021_01088,0.67410713,0.977928,0.9317389,0.86125803
BraTS2021_01091,0.8785047,0.54762447,0.88478845,0.7703059
BraTS2021_01107,0.8464757,0.93450475,0.75554234,0.8455076
BraTS2021_01115,0.91907483,0.87201834,0.96469575,0.91859627
BraTS2021_01126,0.96682,0.9350976,0.9812059,0.96104115
BraTS2021_01129,0.9887159,0.9706259,0.96992767,0.9764231
BraTS2021_01130,0.47641143,0.9120562,0.96075237,0.78307337
BraTS2021_01131,0.9867394,0.9700245,0.9632475,0.9733372
BraTS2021_01142,0.7981784,0.8605431,0.90455914,0.85442686
BraTS2021_01153,0.96404004,0.9304893,0.9516222,0.9487172
BraTS2021_01154,0.68728524,0.3508545,0.9103342,0.6494913
BraTS2021_01170,0.24399461,0.9006629,0.82810944,0.65758896
BraTS2021_01176,0.9084677,0.79047304,0.05925926,0.58606666
