filename,class0,class1,class2,mean
BraTS2021_00006,0.93559617,0.97778547,0.9814017,0.96492773
BraTS2021_00014,0.65428495,0.65637565,0.8628293,0.72449666
BraTS2021_00028,0.86507905,0.9192551,0.7960706,0.8601349
BraTS2021_00054,0.8054518,0.9364296,0.9310254,0.890969
BraTS2021_00061,0.72888637,0.9417364,0.7197,0.7967742
BraTS2021_00077,0.95481056,0.9773878,0.9662177,0.96613866
BraTS2021_00084,0.9000134,0.92457235,0.9122595,0.91228175
BraTS2021_00089,0.9662653,0.9757385,0.87734896,0.9397843
BraTS2021_00095,0.9356619,0.98241985,0.97721565,0.96509916
BraTS2021_00098,0.58490723,0.725766,0.774375,0.6950161
BraTS2021_00102,0.6297654,0.6335979,0.77563465,0.67966604
BraTS2021_00108,0.7854739,0.7935699,0.9078148,0.82895285
BraTS2021_00112,0.5811901,0.676531,0.92573154,0.72781754
BraTS2021_00115,0.9552915,0.9821998,0.97748095,0.97165745
BraTS2021_00117,0.7343608,0.7689899,0.91237396,0.8052416
BraTS2021_00121,0.95612323,0.9672317,0.93773776,0.9536975
BraTS2021_00123,0.9584621,0.9752898,0.9577915,0.9638478
BraTS2021_00124,0.48431578,0.9637756,0.8992845,0.7824586
BraTS2021_00154,0.7890039,0.90264285,0.9476352,0.8797607
BraTS2021_00166,0.9492038,0.96518284,0.956867,0.9570845
BraTS2021_00177,0.96543753,0.9885125,0.98648393,0.9801447
BraTS2021_00201,0.9478507,0.98028326,0.985754,0.971296
BraTS2021_00217,0.98597574,0.98907065,0.9815214,0.98552257
BraTS2021_00219,0.981226,0.98620987,0.92460275,0.96401286
BraTS2021_00230,0.8673815,0.9597608,0.95906097,0.92873436
BraTS2021_00236,0.95122665,0.9649304,0.9569103,0.9576891
BraTS2021_00247,0.93543416,0.94195765,0.97554266,0.9509781
BraTS2021_00261,0.98124605,0.9925734,0.98269737,0.9855056
BraTS2021_00266,0.9482427,0.98035246,0.97902966,0.96920824
BraTS2021_00269,0.9644854,0.97891974,0.98248863,0.9752979
BraTS2021_00270,0.91830385,0.91925466,0.8782513,0.9052699
BraTS2021_00271,0.9568122,0.9480371,0.974873,0.9599075
BraTS2021_00273,0.9382819,0.97817546,0.97952217,0.96532655
BraTS2021_00284,0.76788217,0.75476336,0.81253654,0.778394
BraTS2021_00294,0.96731555,0.9851137,0.9904967,0.98097533
BraTS2021_00297,0.81252676,0.9242635,0.9302971,0.8890291
BraTS2021_00317,0.9671075,0.9808377,0.9794927,0.9758126
BraTS2021_00320,0.82828283,0.9271103,0.844028,0.8664737
BraTS2021_00331,0.5855073,0.28756535,0.7471323,0.5400683
BraTS2021_00347,0.9516071,0.98235077,0.9769396,0.9702992
BraTS2021_00359,0.9735814,0.98439723,0.98474365,0.98090744
BraTS2021_00378,0.9138647,0.92756075,0.95946294,0.93362945
BraTS2021_00392,0.9494522,0.974878,0.974222,0.9661841
BraTS2021_00403,0.97047246,0.9832864,0.9793664,0.9777084
BraTS2021_00410,0.9663913,0.97778565,0.902193,0.94879
BraTS2021_00414,0.88046736,0.94572383,0.9766529,0.93428135
BraTS2021_00426,0.97522175,0.9845658,0.98378533,0.981191
BraTS2021_00445,0.97503006,0.97899663,0.98337114,0.97913265
BraTS2021_00451,0.9495859,0.97264254,0.9852217,0.96915007
BraTS2021_00453,0.9459273,0.96696764,0.985337,0.9660773
BraTS2021_00455,0.9686416,0.9774421,0.9825561,0.9762133
BraTS2021_00457,0.9447298,0.97843117,0.9685032,0.9638881
BraTS2021_00472,0.89693975,0.959598,0.93905514,0.9318643
BraTS2021_00488,0.9088902,0.9671495,0.92324364,0.9330945
BraTS2021_00493,0.8681297,0.91894096,0.23566282,0.67424446
BraTS2021_00501,0.8604555,0.91893417,0.82709193,0.86882716
BraTS2021_00517,0.9715386,0.9766152,0.96009564,0.96941644
BraTS2021_00524,0.9124565,0.97993696,0.9543695,0.94892097
BraTS2021_00526,0.9006658,0.97347236,0.9592613,0.9444664
BraTS2021_00547,0.9076723,0.97554404,0.9537002,0.94563884
BraTS2021_00554,0.95648956,0.9886123,0.96495235,0.9700181
BraTS2021_00559,0.92284644,0.9692171,0.8067746,0.8996127
BraTS2021_00570,0.85780674,0.92927176,0.9159602,0.9010129
BraTS2021_00584,0.9561122,0.9532367,0.6945146,0.8679545
BraTS2021_00599,0.94025624,0.96744245,0.973101,0.9602666
BraTS2021_00626,0.96478164,0.97429144,0.9765318,0.9718683
BraTS2021_00628,0.931039,0.94441223,0.9543367,0.94326264
BraTS2021_00638,0.95570374,0.95928186,0.8420555,0.91901374
BraTS2021_00640,0.9335642,0.98375106,0.9126228,0.94331264
BraTS2021_00641,0.9702335,0.9874515,0.9246588,0.9607813
BraTS2021_00642,0.9448263,0.97127587,0.78707355,0.9010586
BraTS2021_00656,0.7665132,0.4932211,0.9513654,0.7370333
BraTS2021_00680,0.9523309,0.9619793,0.95236194,0.95555735
BraTS2021_00687,0.93395436,0.96409136,0.9708205,0.95628875
BraTS2021_00723,0.8944446,0.9597934,0.93904406,0.931094
BraTS2021_00724,0.94513726,0.9786867,0.9741079,0.96597725
BraTS2021_00727,0.8990458,0.9631441,0.96972746,0.9439725
BraTS2021_00729,0.95887923,0.9764724,0.913762,0.94970447
BraTS2021_00732,0.9033922,0.91373074,0.92187375,0.9129989
BraTS2021_00742,0.8586083,0.93203676,0.9334879,0.90804434
BraTS2021_00753,0.5296221,0.5279064,0.64219457,0.56657434
BraTS2021_00756,0.9397682,0.9772264,0.9498783,0.9556243
BraTS2021_00765,0.8665153,0.90267926,0.9330036,0.90073276
BraTS2021_00788,0.9469783,0.9539882,0.91913176,0.9400327
BraTS2021_00795,0.8563477,0.8782967,0.9300923,0.8882456
BraTS2021_00799,0.96343935,0.9844313,0.9824129,0.97676116
BraTS2021_00802,0.9641402,0.97616184,0.82172656,0.92067623
BraTS2021_00809,0.97367454,0.9849892,0.9895134,0.9827257
BraTS2021_00816,0.97270936,0.984447,0.98940474,0.98218703
BraTS2021_00840,0.84554976,0.54932475,0.9604185,0.78509766
