filename,class0,class1,class2,mean
BraTS2021_00006,0.9781875,0.9578928,0.93559617,0.9572255
BraTS2021_00014,0.016528925,0.8074761,0.65428495,0.4927633
BraTS2021_00028,0.5982363,0.56146324,0.86507905,0.6749262
BraTS2021_00054,0.77407324,0.47989887,0.8054518,0.6864746
BraTS2021_00061,0.44299674,0.5473944,0.72888637,0.5730925
BraTS2021_00077,0.9837034,0.94741035,0.95481056,0.9619748
BraTS2021_00084,0.77326393,0.81233037,0.9000134,0.82853585
BraTS2021_00089,0.9418551,0.709962,0.9662653,0.8726942
BraTS2021_00095,0.9865672,0.9564718,0.9356619,0.9595669
BraTS2021_00098,0.6269083,0.7960912,0.58490723,0.6693022
BraTS2021_00102,0.049382716,0.7660863,0.6297654,0.4817448
BraTS2021_00108,0.022988506,0.89904195,0.7854739,0.5691681
BraTS2021_00112,0.5643309,0.8152091,0.5811901,0.6535767
BraTS2021_00115,0.96666753,0.94477874,0.9552915,0.9555793
BraTS2021_00117,0.44727272,0.85720223,0.7343608,0.6796119
BraTS2021_00121,0.5731707,0.92022645,0.95612323,0.81650686
BraTS2021_00123,0.9566135,0.9376906,0.9584621,0.950922
BraTS2021_00124,0.014589509,0.49224475,0.48431578,0.33038333
BraTS2021_00154,0.7924224,0.913433,0.7890039,0.83161974
BraTS2021_00166,0.96771735,0.9318296,0.9492038,0.94958353
BraTS2021_00177,0.9846632,0.9713076,0.96543753,0.97380275
BraTS2021_00201,0.97894126,0.97056884,0.9478507,0.96578693
BraTS2021_00217,0.6395664,0.97853243,0.98597574,0.8680248
BraTS2021_00219,0.9700405,0.7811728,0.981226,0.9108131
BraTS2021_00230,0.94932204,0.9283914,0.8673815,0.9150317
BraTS2021_00236,0.96587145,0.9297414,0.95122665,0.9489465
BraTS2021_00247,0.80481875,0.9510291,0.93543416,0.897094
BraTS2021_00261,0.9872694,0.97072726,0.98124605,0.97974753
BraTS2021_00266,0.9540233,0.9556606,0.9482427,0.9526422
BraTS2021_00269,0.9347197,0.97103107,0.9644854,0.9567454
BraTS2021_00270,nan,0.8572516,0.91830385,0.8877777
BraTS2021_00271,0.5523012,0.9536628,0.9568122,0.8209254
BraTS2021_00273,0.9475123,0.95210636,0.9382819,0.9459669
BraTS2021_00284,0.0,0.78269935,0.76788217,0.5168605
BraTS2021_00294,0.9865625,0.98724693,0.96731555,0.980375
BraTS2021_00297,0.98682946,0.749261,0.81252676,0.84953904
BraTS2021_00317,0.7166124,0.969999,0.9671075,0.884573
BraTS2021_00320,0.58294874,0.8100171,0.82828283,0.7404162
BraTS2021_00331,0.2019374,0.5495899,0.5855073,0.4456782
BraTS2021_00347,0.9483365,0.95521486,0.9516071,0.95171946
BraTS2021_00359,0.752883,0.9776129,0.9735814,0.9013591
BraTS2021_00378,0.9276249,0.94805634,0.9138647,0.9298486
BraTS2021_00392,0.89393604,0.81487703,0.9494522,0.88608843
BraTS2021_00403,0.9806389,0.9499466,0.97047246,0.9670193
BraTS2021_00410,0.8585757,0.88097644,0.9663913,0.9019812
BraTS2021_00414,0.8178881,0.87383664,0.88046736,0.8573974
BraTS2021_00426,0.95514554,0.97551304,0.97522175,0.9686268
BraTS2021_00445,0.94058704,0.96725297,0.97503006,0.96095675
BraTS2021_00451,0.8809916,0.92982084,0.9495859,0.9201328
BraTS2021_00453,0.9228169,0.8949709,0.9459273,0.92123836
BraTS2021_00455,0.95739764,0.9721392,0.9686416,0.96605945
BraTS2021_00457,0.8757947,0.91340065,0.9447298,0.91130835
BraTS2021_00472,0.9648435,0.9081167,0.89693975,0.92329997
BraTS2021_00488,0.9254575,0.73039246,0.9088902,0.8549134
BraTS2021_00493,0.86386985,0.11469929,0.8681297,0.61556625
BraTS2021_00501,0.9194204,0.80678993,0.8604555,0.86222196
BraTS2021_00517,0.85306704,0.9542152,0.9715386,0.9262736
BraTS2021_00524,0.9754508,0.8636163,0.9124565,0.9171745
BraTS2021_00526,0.8462672,0.93225247,0.9006658,0.8930618
BraTS2021_00547,0.6948283,0.9355062,0.9076723,0.8460023
BraTS2021_00554,0.98457813,0.94472706,0.95648956,0.9619315
BraTS2021_00559,0.9581432,0.56870764,0.92284644,0.81656575
BraTS2021_00570,0.9480986,0.86271465,0.85780674,0.88953996
BraTS2021_00584,0.75336325,0.45781127,0.9561122,0.72242886
BraTS2021_00599,0.8987092,0.9634907,0.94025624,0.93415207
BraTS2021_00626,0.93143916,0.9438826,0.96478164,0.9467011
BraTS2021_00628,0.1764706,0.94776464,0.931039,0.68509144
BraTS2021_00638,0.8016194,0.8316766,0.95570374,0.8629999
BraTS2021_00640,0.97981924,0.5485299,0.9335642,0.82063776
BraTS2021_00641,0.96911937,0.0013398839,0.9702335,0.6468976
BraTS2021_00642,0.9235316,0.6811101,0.9448263,0.8498227
BraTS2021_00656,0.14322351,0.9035597,0.7665132,0.60443217
BraTS2021_00680,0.83966005,0.92483515,0.9523309,0.90560865
BraTS2021_00687,0.96488535,0.9524383,0.93395436,0.9504259
BraTS2021_00723,0.9190715,0.88245356,0.8944446,0.89865655
BraTS2021_00724,0.9744987,0.9486968,0.94513726,0.95611095
BraTS2021_00727,0.9688262,0.93560135,0.8990458,0.93449116
BraTS2021_00729,0.9669261,0.830574,0.95887923,0.91879314
BraTS2021_00732,0.81904763,0.8306264,0.9033922,0.85102206
BraTS2021_00742,0.89102703,0.9108973,0.8586083,0.8868442
BraTS2021_00753,nan,0.5519933,0.5296221,0.5408077
BraTS2021_00756,0.9502456,0.828824,0.9397682,0.90627927
BraTS2021_00765,0.91508126,0.87802184,0.8665153,0.88653946
BraTS2021_00788,0.45333335,0.90023685,0.9469783,0.7668495
BraTS2021_00795,0.56117594,0.8105444,0.8563477,0.7426893
BraTS2021_00799,0.9396052,0.9600816,0.96343935,0.95437545
BraTS2021_00802,0.32142857,0.7233724,0.9641402,0.66964704
BraTS2021_00809,0.93264896,0.9805527,0.97367454,0.962292
BraTS2021_00816,0.9624206,0.9774245,0.97270936,0.9708515
BraTS2021_00840,0.31705558,0.9232984,0.84554976,0.6953013
BraTS2021_00999,0.80432117,0.6908782,0.77445906,0.7565529
BraTS2021_01001,0.9372694,0.9630696,0.9169858,0.9391083
BraTS2021_01005,0.9068929,0.9164589,0.9433872,0.9222464
BraTS2021_01007,0.9656403,0.86738604,0.9486103,0.92721224
BraTS2021_01008,0.8927875,0.9216019,0.97399664,0.929462
BraTS2021_01016,0.8784199,0.9240948,0.95430374,0.9189394
BraTS2021_01019,0.96553683,0.9550439,0.97069347,0.96375805
BraTS2021_01020,0.9708601,0.981384,0.975,0.97574806
BraTS2021_01026,0.95008254,0.9653935,0.89978296,0.93841964
BraTS2021_01028,0.9387957,0.853577,0.93802744,0.91013336
BraTS2021_01052,0.9610789,0.9639873,0.9609364,0.96200085
BraTS2021_01057,0.94422907,0.86531883,0.9374377,0.9156619
BraTS2021_01059,0.7392921,0.6644637,0.92648864,0.7767482
BraTS2021_01064,0.50842696,0.67500484,0.4915572,0.5583297
BraTS2021_01077,nan,0.9417579,0.70299727,0.82237756
BraTS2021_01078,0.9886037,0.9252459,0.935542,0.94979715
BraTS2021_01080,0.9657728,0.933031,0.9504442,0.9497493
BraTS2021_01088,0.64,0.9767374,0.9181405,0.84495926
BraTS2021_01091,0.88073397,0.555292,0.8867754,0.77426714
BraTS2021_01107,0.8478851,0.932434,0.7567998,0.8457063
BraTS2021_01115,0.9214619,0.87269723,0.9652783,0.9198125
BraTS2021_01126,0.96612,0.9338253,0.98113793,0.96036106
BraTS2021_01129,0.99007785,0.9703095,0.9705557,0.976981
BraTS2021_01130,0.48085758,0.9126479,0.95946777,0.7843244
BraTS2021_01131,0.9866491,0.9702262,0.9621589,0.97301143
BraTS2021_01142,0.8001887,0.86114496,0.9055432,0.8556256
BraTS2021_01153,0.96529055,0.9299204,0.95191395,0.94904166
BraTS2021_01154,0.6875,0.40930548,0.90773696,0.66818076
BraTS2021_01170,0.24274406,0.90351284,0.8468126,0.6643565
BraTS2021_01176,0.90741426,0.7858725,0.030534351,0.5746071
BraTS2021_01182,0.0661157,0.8774559,0.7660312,0.5698676
BraTS2021_01203,0.9576754,0.87346166,0.8619202,0.89768577
BraTS2021_01206,0.6099387,0.9139451,0.8099217,0.7779352
BraTS2021_01212,0.79029834,0.80167764,0.85369366,0.8152232
BraTS2021_01222,0.26511478,0.762379,0.74196917,0.5898209
