filename,class0,class1,class2,mean
BraTS2021_00006,0.9170178,0.97233313,0.97397614,0.9544423
BraTS2021_00014,0.7863248,0.79242843,0.86823446,0.81566256
BraTS2021_00028,0.83436376,0.8905972,0.8564953,0.8604855
BraTS2021_00054,0.78898,0.92871726,0.9273406,0.8816793
BraTS2021_00061,0.74824506,0.9244394,0.66810006,0.7802615
BraTS2021_00077,0.9366412,0.9717811,0.95671666,0.95504636
BraTS2021_00084,0.863227,0.86909634,0.89841384,0.8769124
BraTS2021_00089,0.9460048,0.960027,0.9400587,0.94869685
BraTS2021_00095,0.91540253,0.97867316,0.96893007,0.9543352
BraTS2021_00098,0.44162282,0.56609005,0.69614345,0.5679521
BraTS2021_00102,0.49922958,0.46463245,0.8066979,0.59018666
BraTS2021_00108,0.76593447,0.7685479,0.89108086,0.8085211
BraTS2021_00112,0.6281194,0.6990072,0.9124251,0.74651724
BraTS2021_00115,0.9286927,0.97189903,0.9629777,0.95452315
BraTS2021_00117,0.6948583,0.7631703,0.91337126,0.7904666
BraTS2021_00121,0.9499299,0.96043766,0.9299105,0.9467593
BraTS2021_00123,0.9458214,0.96880203,0.9452389,0.9532874
BraTS2021_00124,0.4892945,0.96319896,0.9023169,0.7849367
BraTS2021_00154,0.77762055,0.88287836,0.94182575,0.8674415
BraTS2021_00166,0.9237809,0.95077634,0.94599575,0.94018435
BraTS2021_00177,0.93820906,0.9828971,0.97503215,0.9653794
BraTS2021_00201,0.9248305,0.97392887,0.97010446,0.9562879
BraTS2021_00217,0.9718778,0.9738088,0.9690982,0.971595
BraTS2021_00219,0.95618063,0.96671516,0.91324055,0.9453788
BraTS2021_00230,0.8617082,0.9604511,0.9478506,0.9233367
BraTS2021_00236,0.93301725,0.95602596,0.9342047,0.94108266
BraTS2021_00247,0.92436135,0.93728644,0.95586896,0.93917227
BraTS2021_00261,0.9546145,0.98442113,0.9639966,0.9676774
BraTS2021_00266,0.9186302,0.97338927,0.97204924,0.95468956
BraTS2021_00269,0.9503673,0.975419,0.96009374,0.96196
BraTS2021_00270,0.9450179,0.94232863,0.84371394,0.9103535
BraTS2021_00271,0.93543714,0.925278,0.9589918,0.9399023
BraTS2021_00273,0.90817475,0.9703184,0.96992826,0.9494738
BraTS2021_00284,0.7667233,0.7917753,0.8039597,0.7874861
BraTS2021_00294,0.9086258,0.96153843,0.97691137,0.94902515
BraTS2021_00297,0.80504435,0.9295794,0.9228873,0.885837
BraTS2021_00317,0.9517511,0.9630779,0.96630234,0.96037716
BraTS2021_00320,0.80407953,0.9223231,0.8185205,0.84830767
BraTS2021_00331,0.62387675,0.09447822,0.7263901,0.4815817
BraTS2021_00347,0.92727315,0.97683805,0.96510005,0.95640373
BraTS2021_00359,0.95081633,0.9639044,0.9613488,0.95868987
BraTS2021_00378,0.90091264,0.9291553,0.9418085,0.9239588
BraTS2021_00392,0.947606,0.9737127,0.96691954,0.96274614
BraTS2021_00403,0.9398359,0.96702075,0.96584195,0.9575662
BraTS2021_00410,0.95633864,0.97060716,0.88665783,0.9378679
BraTS2021_00414,0.8224063,0.9541111,0.9687046,0.91507405
BraTS2021_00426,0.9622465,0.97704786,0.97085124,0.9700485
BraTS2021_00445,0.9559647,0.96738327,0.97068715,0.96467835
BraTS2021_00451,0.9352752,0.96124923,0.9771213,0.9578819
BraTS2021_00453,0.9349725,0.96027565,0.9757777,0.9570086
BraTS2021_00455,0.9424845,0.95918113,0.96849006,0.9567186
BraTS2021_00457,0.9420661,0.9763563,0.9465746,0.954999
BraTS2021_00472,0.8844363,0.9539121,0.9339139,0.92408746
BraTS2021_00488,0.8863535,0.9585768,0.91368914,0.91953975
BraTS2021_00493,0.8563835,0.910632,0.17914939,0.64872164
BraTS2021_00501,0.8707091,0.9286975,0.83789784,0.8791015
BraTS2021_00517,0.95780575,0.9628616,0.95482254,0.95849663
BraTS2021_00524,0.85517573,0.96663344,0.93613416,0.91931444
BraTS2021_00526,0.8975116,0.9741777,0.9566067,0.9427653
BraTS2021_00547,0.896479,0.96716696,0.941209,0.9349517
BraTS2021_00554,0.92409325,0.98162454,0.9552165,0.95364475
BraTS2021_00559,0.9136877,0.96713597,0.81104624,0.89728993
BraTS2021_00570,0.85916257,0.93174106,0.9200659,0.9036565
BraTS2021_00584,0.9435426,0.9438601,0.8826103,0.9233377
BraTS2021_00599,0.93229854,0.96291834,0.96315956,0.95279217
BraTS2021_00626,0.9496339,0.9625224,0.9604769,0.9575444
BraTS2021_00628,0.9264323,0.9410559,0.92084956,0.9294459
BraTS2021_00638,0.9400916,0.944786,0.8620961,0.91565794
BraTS2021_00640,0.89900476,0.9768842,0.9149177,0.93026894
BraTS2021_00641,0.9445442,0.97911644,0.93168443,0.9517817
BraTS2021_00642,0.93119824,0.96455604,0.7450647,0.88027304
BraTS2021_00656,0.7570024,0.21135712,0.94705904,0.63847286
BraTS2021_00680,0.94011015,0.9546132,0.9543581,0.94969386
BraTS2021_00687,0.91454905,0.9560646,0.95171785,0.9407771
BraTS2021_00723,0.88935894,0.962999,0.93133247,0.9278968
BraTS2021_00724,0.9248979,0.97392976,0.9633475,0.9540584
BraTS2021_00727,0.8553764,0.96171725,0.9592378,0.9254438
BraTS2021_00729,0.9335407,0.9635151,0.90172815,0.932928
BraTS2021_00732,0.887532,0.9016579,0.908903,0.8993643
BraTS2021_00742,0.8567491,0.9342358,0.93367326,0.90821934
BraTS2021_00753,0.6429743,0.64458805,0.7169406,0.66816765
BraTS2021_00756,0.9220076,0.9719962,0.9471253,0.9470431
BraTS2021_00765,0.86125547,0.90549105,0.92343426,0.8967269
BraTS2021_00788,0.9266247,0.9331432,0.8999619,0.91990995
BraTS2021_00795,0.85643625,0.8779612,0.9224171,0.88560486
BraTS2021_00799,0.9356829,0.9714677,0.9617481,0.95629954
BraTS2021_00802,0.94343454,0.94519025,0.91748166,0.93536884
BraTS2021_00809,0.9599961,0.9748418,0.9749954,0.9699444
BraTS2021_00816,0.9535844,0.97338015,0.97829634,0.96842027
BraTS2021_00840,0.865902,0.5195547,0.9504545,0.7786371
BraTS2021_00999,0.76850134,0.84928185,0.88670796,0.83483034
BraTS2021_01001,0.8888335,0.9791528,0.97019726,0.9460612
BraTS2021_01005,0.9350192,0.9645946,0.9416217,0.9470785
BraTS2021_01007,0.9378877,0.9642803,0.94957,0.95057935
BraTS2021_01008,0.941018,0.9600797,0.9132538,0.9381172
BraTS2021_01016,0.94695747,0.9784348,0.9625954,0.9626625
BraTS2021_01019,0.95608175,0.975095,0.963819,0.96499854
BraTS2021_01020,0.9601849,0.9722954,0.97823673,0.970239
BraTS2021_01026,0.8644357,0.96981394,0.9716539,0.9353011
BraTS2021_01028,0.9198695,0.95741403,0.91788566,0.9317231
BraTS2021_01052,0.940662,0.974132,0.95791525,0.9575698
BraTS2021_01057,0.90595156,0.96754605,0.9201926,0.93123007
BraTS2021_01059,0.91200817,0.93415844,0.8610377,0.90240145
BraTS2021_01064,0.55278003,0.61022264,0.7092593,0.62408733
BraTS2021_01077,0.46694797,0.45479453,0.92309093,0.61494446
BraTS2021_01078,0.8775838,0.9818882,0.9575748,0.9390156
BraTS2021_01080,0.9197268,0.96971935,0.91280025,0.9340821
BraTS2021_01088,0.911,0.9530004,0.9713255,0.94510865
BraTS2021_01091,0.8306105,0.84322554,0.6279864,0.76727414
BraTS2021_01107,0.7394306,0.8453792,0.95897704,0.84792894
BraTS2021_01115,0.93832594,0.96633595,0.95406216,0.95290804
BraTS2021_01126,0.9711074,0.97870153,0.97724926,0.9756861
BraTS2021_01129,0.9424094,0.9804291,0.9704601,0.9644329
BraTS2021_01130,0.9449836,0.9674267,0.94037974,0.95092994
BraTS2021_01131,0.92653924,0.9735016,0.9645942,0.95487833
BraTS2021_01142,0.9061123,0.9569008,0.9559198,0.9396443
BraTS2021_01153,0.93864965,0.98081255,0.9580534,0.95917183
BraTS2021_01154,0.9080024,0.9120635,0.51405525,0.7780404
BraTS2021_01170,0.7546544,0.6773061,0.86564815,0.7658696
BraTS2021_01176,0.0,0.71560764,0.97131366,0.5623071
BraTS2021_01182,0.7610951,0.773902,0.8887609,0.8079193
BraTS2021_01203,0.8643378,0.96300054,0.9012441,0.9095275
BraTS2021_01206,0.8151471,0.93321353,0.93378794,0.89404947
BraTS2021_01212,0.8451779,0.9246528,0.86204505,0.8772919
BraTS2021_01222,0.75927407,0.9020473,0.8010975,0.8208063
BraTS2021_01225,0.9465652,0.96775514,0.9185761,0.9442988
BraTS2021_01255,0.90854347,0.90854347,0.7643945,0.86049384
BraTS2021_01256,0.87754804,0.9727234,0.9673677,0.93921304
BraTS2021_01258,0.84066576,0.93229544,0.93952864,0.9041633
BraTS2021_01262,0.83562726,0.9457596,0.7759711,0.8524527
BraTS2021_01263,0.76251453,0.8987513,0.9285531,0.86327296
BraTS2021_01286,0.931829,0.9666125,0.93598515,0.9448089
BraTS2021_01293,0.4287827,0.39363495,0.57628286,0.4662335
BraTS2021_01295,0.91857904,0.97192746,0.9533692,0.9479585
BraTS2021_01301,0.9332952,0.9564985,0.92797744,0.93925697
BraTS2021_01302,0.90996796,0.9442129,0.9440823,0.93275434
BraTS2021_01303,0.91598034,0.9704764,0.9552863,0.9472477
BraTS2021_01306,0.89844686,0.9028878,0.964561,0.9219652
BraTS2021_01307,0.96204865,0.9762005,0.9780783,0.97210914
BraTS2021_01317,0.93111676,0.97265893,0.9797144,0.96116334
BraTS2021_01326,0.96791583,0.97978735,0.9623541,0.9700191
BraTS2021_01329,0.9155386,0.97412616,0.9722691,0.953978
BraTS2021_01333,0.9228687,0.93482953,0.54819655,0.80196494
BraTS2021_01335,0.93721586,0.9573186,0.9720035,0.9555127
BraTS2021_01336,0.91266966,0.9668882,0.96315306,0.9475703
BraTS2021_01340,0.9521006,0.97137994,0.9531621,0.9588809
BraTS2021_01345,0.9393884,0.97994757,0.913705,0.94434696
BraTS2021_01346,0.924639,0.9795949,0.98110795,0.9617806
BraTS2021_01353,0.93708056,0.96755666,0.94928753,0.95130825
BraTS2021_01354,0.9502704,0.98114264,0.9337378,0.9550503
BraTS2021_01356,0.9151782,0.9698289,0.94947875,0.9448287
BraTS2021_01357,0.9318883,0.9825869,0.97005564,0.96151024
BraTS2021_01360,0.9382031,0.9677457,0.95303625,0.95299506
BraTS2021_01364,0.9002433,0.9336283,0.33060664,0.72149277
BraTS2021_01365,0.7371007,0.7653351,0.6420452,0.714827
BraTS2021_01373,0.9488579,0.9744182,0.93732697,0.95353436
BraTS2021_01388,0.955821,0.9830555,0.9683749,0.9690838
BraTS2021_01390,0.9258338,0.9699982,0.95841366,0.95141524
BraTS2021_01398,0.9646247,0.9753458,0.9714286,0.9704664
BraTS2021_01406,0.9489001,0.97167087,0.94889337,0.95648813
BraTS2021_01410,0.9331324,0.9888507,0.9810665,0.96768326
BraTS2021_01415,0.7583419,0.9042438,0.88707525,0.84988695
