filename,class0,class1,class2,mean
BraTS2021_00006,0.91703546,0.972363,0.973962,0.95445347
BraTS2021_00014,0.786395,0.79242843,0.86826116,0.81569487
BraTS2021_00028,0.83436376,0.8906454,0.85648316,0.8604975
BraTS2021_00054,0.7890053,0.9287135,0.92734617,0.88168836
BraTS2021_00061,0.7483003,0.92448723,0.66810006,0.78029585
BraTS2021_00077,0.93665445,0.9717811,0.9567148,0.9550502
BraTS2021_00084,0.86327344,0.869078,0.8983955,0.87691563
BraTS2021_00089,0.94595104,0.960027,0.9400621,0.94868
BraTS2021_00095,0.91547054,0.97866774,0.9689175,0.9543519
BraTS2021_00098,0.44157222,0.5660322,0.6961317,0.56791204
BraTS2021_00102,0.49922958,0.4644714,0.80666745,0.5901228
BraTS2021_00108,0.76593447,0.7685479,0.89107525,0.8085192
BraTS2021_00112,0.6282635,0.6990635,0.91241795,0.7465816
BraTS2021_00115,0.92869496,0.97188944,0.9629781,0.9545209
BraTS2021_00117,0.694897,0.7632119,0.913379,0.79049593
BraTS2021_00121,0.9499038,0.96043766,0.9298979,0.9467465
BraTS2021_00123,0.9458117,0.96881884,0.9452463,0.9532923
BraTS2021_00124,0.48928514,0.96320367,0.90230674,0.78493184
BraTS2021_00154,0.777645,0.88290775,0.94181144,0.8674547
BraTS2021_00166,0.92382824,0.95077634,0.9459952,0.9401999
BraTS2021_00177,0.93820906,0.982884,0.97504205,0.96537834
BraTS2021_00201,0.92480147,0.97389597,0.9700944,0.95626396
BraTS2021_00217,0.9718778,0.9738088,0.9691016,0.97159606
BraTS2021_00219,0.95618063,0.96671516,0.91341436,0.9454367
BraTS2021_00230,0.8616583,0.9604511,0.9478642,0.9233246
BraTS2021_00236,0.93308955,0.9561045,0.93417674,0.94112355
BraTS2021_00247,0.92438996,0.93726313,0.9558549,0.93916935
BraTS2021_00261,0.9545549,0.9843735,0.9639863,0.9676382
BraTS2021_00266,0.91865385,0.9733957,0.97204375,0.9546978
BraTS2021_00269,0.95038813,0.9754356,0.9600838,0.96196914
BraTS2021_00271,0.9354718,0.925278,0.95897937,0.9399097
BraTS2021_00273,0.9081565,0.9703184,0.96993697,0.9494707
BraTS2021_00284,0.7669837,0.7917753,0.8039481,0.78756905
BraTS2021_00294,0.9087438,0.9616115,0.9769218,0.9490924
BraTS2021_00297,0.80508196,0.92958856,0.92287177,0.8858474
BraTS2021_00317,0.95182985,0.96311533,0.96629405,0.96041304
BraTS2021_00320,0.80407953,0.9223231,0.81849253,0.8482984
BraTS2021_00331,0.62387675,0.094466254,0.7264155,0.4815862
BraTS2021_00347,0.92725086,0.97683805,0.96511805,0.9564023
BraTS2021_00359,0.95078385,0.9639067,0.9613628,0.95868444
BraTS2021_00378,0.9010301,0.9291553,0.9418742,0.9240199
BraTS2021_00392,0.9475926,0.9737,0.96690935,0.962734
BraTS2021_00403,0.93974805,0.9669909,0.96584195,0.957527
BraTS2021_00410,0.95633864,0.9705504,0.88667023,0.9378531
BraTS2021_00414,0.82234293,0.9540671,0.9687007,0.9150369
BraTS2021_00426,0.96225995,0.97704786,0.9708417,0.97004986
BraTS2021_00445,0.955953,0.96737504,0.97068846,0.96467215
BraTS2021_00451,0.9352919,0.961238,0.9771286,0.9578862
BraTS2021_00453,0.93492824,0.96025676,0.9757852,0.95699006
