filename,class0,class1,class2,mean
BraTS2021_00006,0.97211236,0.9498686,0.91703546,0.94633883
BraTS2021_00014,0.0,0.8367874,0.786395,0.5410608
BraTS2021_00028,0.6138996,0.6866002,0.83436376,0.7116212
BraTS2021_00054,0.7696835,0.48911312,0.7890053,0.6826007
BraTS2021_00061,0.64399016,0.4820746,0.7483003,0.62478834
BraTS2021_00077,0.9696249,0.9360403,0.93665445,0.94743985
BraTS2021_00084,0.581539,0.7478955,0.86327344,0.7309026
BraTS2021_00089,0.9150788,0.8354422,0.94595104,0.898824
BraTS2021_00095,0.9801973,0.94448596,0.91547054,0.946718
BraTS2021_00098,0.52272505,0.726158,0.44157222,0.5634851
BraTS2021_00102,0.0,0.80154043,0.49922958,0.43359002
BraTS2021_00108,0.04024145,0.88073236,0.76593447,0.56230277
BraTS2021_00112,0.5614409,0.8099067,0.6282635,0.66653705
BraTS2021_00115,0.94230175,0.91819817,0.92869496,0.9297316
BraTS2021_00117,0.4146614,0.86282843,0.694897,0.6574623
BraTS2021_00121,0.5833333,0.9125624,0.9499038,0.81526643
BraTS2021_00123,0.94124717,0.9227043,0.9458117,0.93658775
BraTS2021_00124,0.016721202,0.51376736,0.48928514,0.33992457
BraTS2021_00154,0.78099656,0.908532,0.777645,0.8223912
BraTS2021_00166,0.9440169,0.9184696,0.92382824,0.92877156
BraTS2021_00177,0.9698619,0.94957995,0.93820906,0.95255035
BraTS2021_00201,0.9718494,0.94207555,0.92480147,0.94624215
BraTS2021_00217,0.5929648,0.96353114,0.9718778,0.84279126
BraTS2021_00219,0.9399351,0.7622388,0.95618063,0.8861182
BraTS2021_00230,0.9409062,0.908181,0.8616583,0.90358186
BraTS2021_00236,0.9315909,0.8848176,0.93308955,0.9164994
BraTS2021_00247,0.80839455,0.92229813,0.92438996,0.8850276
BraTS2021_00261,0.96351117,0.9423984,0.9545549,0.9534882
BraTS2021_00266,0.93132436,0.943589,0.91865385,0.93118906
BraTS2021_00269,0.8958018,0.9407212,0.95038813,0.9289704
BraTS2021_00271,0.43707454,0.9319807,0.9354718,0.76817566
BraTS2021_00273,0.92736846,0.9336455,0.9081565,0.9230568
BraTS2021_00284,0.04245283,0.76789534,0.7669837,0.5257773
BraTS2021_00294,0.9539586,0.9749373,0.9087438,0.94587994
BraTS2021_00297,0.9700051,0.74045783,0.80508196,0.838515
BraTS2021_00317,0.7598896,0.95560163,0.95182985,0.88910705
BraTS2021_00320,0.5338983,0.78205705,0.80407953,0.70667833
BraTS2021_00331,0.0,0.508017,0.62387675,0.3772979
BraTS2021_00347,0.9321839,0.9351195,0.92725086,0.9315181
BraTS2021_00359,0.73241717,0.9508173,0.95078385,0.87800616
BraTS2021_00378,0.91789013,0.9276779,0.9010301,0.91553277
BraTS2021_00392,0.8928336,0.81849474,0.9475926,0.88630694
BraTS2021_00403,0.95686084,0.9200372,0.93974805,0.93888205
BraTS2021_00410,0.7982646,0.8623392,0.95633864,0.87231416
BraTS2021_00414,0.7762399,0.86995137,0.82234293,0.82284474
BraTS2021_00426,0.9276632,0.96002144,0.96225995,0.9499815
BraTS2021_00445,0.9031894,0.9476707,0.955953,0.9356044
BraTS2021_00451,0.83194435,0.89854825,0.9352919,0.8885948
BraTS2021_00453,0.9110581,0.8715028,0.93492824,0.9058297
BraTS2021_00455,0.9127989,0.95743996,0.94243973,0.93755955
BraTS2021_00457,0.8926365,0.8695922,0.9420793,0.90143603
BraTS2021_00472,0.96050555,0.90500766,0.88439596,0.9166364
BraTS2021_00488,0.9108846,0.6941031,0.8863834,0.83045703
BraTS2021_00493,0.8603066,0.075867854,0.8562666,0.59748036
BraTS2021_00501,0.94276005,0.8215244,0.870796,0.8783601
BraTS2021_00517,0.8340548,0.9471725,0.95780575,0.9130111
BraTS2021_00524,0.96713537,0.8226231,0.8552373,0.8816652
BraTS2021_00526,0.8316305,0.93281925,0.8975116,0.8873205
BraTS2021_00547,0.69902915,0.9215429,0.896479,0.8390171
BraTS2021_00554,0.9718492,0.9321705,0.92407,0.9426966
BraTS2021_00559,0.9451484,0.6384125,0.91372454,0.83242846
BraTS2021_00570,0.9451967,0.87244457,0.8591728,0.89227134
BraTS2021_00584,0.72,0.72608584,0.9435426,0.7965428
BraTS2021_00599,0.89508826,0.95266175,0.9322769,0.9266756
BraTS2021_00626,0.9135034,0.92136496,0.9497008,0.92818975
BraTS2021_00628,0.027272727,0.9111098,0.92644185,0.6216081
BraTS2021_00638,0.67906976,0.8534499,0.9400364,0.8241854
BraTS2021_00640,0.964493,0.583505,0.89900476,0.81566757
BraTS2021_00641,0.932163,0.00056593097,0.94452214,0.62575036
BraTS2021_00642,0.8981944,0.6545159,0.93119824,0.82796955
BraTS2021_00656,0.038046654,0.7442791,0.7569224,0.51308274
BraTS2021_00680,0.7671395,0.92836183,0.94011015,0.8785372
BraTS2021_00687,0.9475046,0.92860043,0.91460824,0.93023777
BraTS2021_00723,0.89761734,0.87790734,0.8894345,0.88831973
BraTS2021_00724,0.95617366,0.93148357,0.9248656,0.9375076
BraTS2021_00727,0.9647113,0.92206883,0.85550356,0.9140946
BraTS2021_00729,0.9434937,0.8198074,0.9335407,0.89894724
BraTS2021_00732,0.71153843,0.8152542,0.887532,0.80477494
BraTS2021_00742,0.8764045,0.9107959,0.85672593,0.8813088
BraTS2021_00756,0.92046237,0.81645435,0.9219985,0.8863051
BraTS2021_00765,0.88551563,0.87610596,0.86127645,0.87429935
BraTS2021_00788,0.44186047,0.876321,0.9266247,0.7482688
BraTS2021_00795,0.541387,0.79337543,0.85643625,0.7303996
