filename,class0,class1,class2,mean
BraTS2021_00006,0.97211236,0.9498919,0.9170178,0.94634074
BraTS2021_00014,0.0,0.83676565,0.7863248,0.54103017
BraTS2021_00028,0.61366266,0.68663824,0.83436376,0.7115548
BraTS2021_00054,0.769652,0.48916507,0.78898,0.68259907
BraTS2021_00061,0.64399016,0.482034,0.74824506,0.6247564
BraTS2021_00077,0.9696249,0.93603843,0.9366412,0.94743484
BraTS2021_00084,0.5813449,0.74793416,0.863227,0.7308354
BraTS2021_00089,0.915334,0.83549994,0.9460048,0.8989463
BraTS2021_00095,0.98017025,0.9444987,0.91540253,0.94669056
BraTS2021_00098,0.5227978,0.7260993,0.44162282,0.56350666
BraTS2021_00102,0.0,0.80154043,0.49922958,0.43359002
BraTS2021_00108,0.04024145,0.8807513,0.76593447,0.5623091
BraTS2021_00112,0.56151867,0.8098983,0.6281194,0.6665122
BraTS2021_00115,0.94230175,0.9181665,0.9286927,0.92972034
BraTS2021_00117,0.4146614,0.86280495,0.6948583,0.65744156
BraTS2021_00121,0.5833333,0.91261977,0.9499299,0.8152943
BraTS2021_00123,0.94124717,0.9226946,0.9458214,0.93658775
BraTS2021_00124,0.016670102,0.51380205,0.4892945,0.33992222
BraTS2021_00154,0.7810413,0.9085387,0.77762055,0.82240015
BraTS2021_00166,0.94407547,0.91845536,0.9237809,0.92877054
BraTS2021_00177,0.9698619,0.9495665,0.93820906,0.9525458
BraTS2021_00201,0.9718753,0.94208217,0.9248305,0.94626266
BraTS2021_00217,0.5929648,0.96352756,0.9718778,0.84279007
BraTS2021_00219,0.9399351,0.76187694,0.95618063,0.88599753
BraTS2021_00230,0.9409062,0.908181,0.8617082,0.9035985
BraTS2021_00236,0.9317123,0.88485307,0.93301725,0.91652757
BraTS2021_00247,0.8082695,0.9222966,0.92436135,0.88497573
BraTS2021_00261,0.9635895,0.9424097,0.9546145,0.95353794
BraTS2021_00266,0.93133885,0.94358957,0.9186302,0.9311862
BraTS2021_00269,0.8958816,0.94072926,0.9503673,0.9289927
BraTS2021_00270,nan,0.82318103,0.9450179,0.8840995
BraTS2021_00271,0.43707454,0.9319947,0.93543714,0.76816875
BraTS2021_00273,0.92737174,0.93361485,0.90817475,0.92305374
BraTS2021_00284,0.04245283,0.7678566,0.7667233,0.52567756
BraTS2021_00294,0.9539586,0.9749289,0.9086258,0.94583774
BraTS2021_00297,0.97002167,0.7404409,0.80504435,0.83850235
BraTS2021_00317,0.75919116,0.9556252,0.9517511,0.88885576
BraTS2021_00320,0.5338983,0.782083,0.80407953,0.706687
BraTS2021_00331,0.0,0.5078759,0.62387675,0.3772509
BraTS2021_00347,0.9321839,0.9351087,0.92727315,0.9315219
BraTS2021_00359,0.73241717,0.9508002,0.95081633,0.8780112
BraTS2021_00378,0.91789013,0.92760485,0.90091264,0.91546917
BraTS2021_00392,0.89268684,0.81865644,0.947606,0.8863165
BraTS2021_00403,0.95686084,0.9200372,0.9398359,0.93891126
BraTS2021_00410,0.7982646,0.86231714,0.95633864,0.8723068
BraTS2021_00414,0.77623266,0.87003016,0.8224063,0.82288975
BraTS2021_00426,0.92775536,0.9600302,0.9622465,0.9500107
BraTS2021_00445,0.9032456,0.94767225,0.9559647,0.93562746
BraTS2021_00451,0.83194435,0.8985314,0.9352752,0.88858366
BraTS2021_00453,0.9110581,0.8715028,0.9349725,0.9058445
BraTS2021_00455,0.9127989,0.95746243,0.9424845,0.93758196
BraTS2021_00457,0.8925804,0.86961263,0.9420661,0.90141964
BraTS2021_00472,0.96050555,0.905025,0.8844363,0.9166556
BraTS2021_00488,0.9109219,0.69404435,0.8863535,0.83043987
BraTS2021_00493,0.8603066,0.07586628,0.8563835,0.5975188
BraTS2021_00501,0.94276005,0.8214867,0.8707091,0.8783186
BraTS2021_00517,0.8340548,0.9471785,0.95780575,0.913013
BraTS2021_00524,0.96713537,0.8226383,0.85517573,0.8816498
BraTS2021_00526,0.8316305,0.93281865,0.8975116,0.8873202
BraTS2021_00547,0.69902915,0.92156017,0.896479,0.8390228
BraTS2021_00554,0.9718281,0.93217385,0.92409325,0.9426984
BraTS2021_00559,0.9451484,0.63828087,0.9136877,0.83237237
