filename,class0,class1,class2,mean
case_00236,0.9465093,0.94651073,0.97069144,0.9545705
case_00207,0.48021996,0.69435024,0.984032,0.7195341
case_00212,0.7831779,0.7828971,0.9844938,0.8501896
case_00295,0.84061533,0.84064895,0.97768945,0.8863179
case_00547,0.19324617,0.30873692,0.95993364,0.48730555
case_00251,0.9010142,0.90087676,0.96246815,0.921453
case_00577,0.90064573,0.9154769,0.9720462,0.92938966
case_00548,0.11105063,0.70155346,0.98354954,0.59871787
case_00403,0.9104519,0.92813146,0.9750491,0.9378775
case_00450,0.968199,0.9682197,0.97818345,0.9715341
case_00269,0.9523107,0.9442639,0.98070854,0.95909435
case_00201,0.7334034,0.7332633,0.98199075,0.81621915
case_00161,0.9356454,0.9100081,0.979874,0.94184256
case_00043,0.9378154,0.9378154,0.98328906,0.9529733
case_00217,0.8968046,0.89285356,0.97283167,0.92082995
case_00501,0.9082196,0.89487743,0.9685785,0.92389184
case_00190,0.9327252,0.9570935,0.98296356,0.9575941
case_00409,0.9424851,0.9419403,0.9847443,0.9563899
case_00259,0.93111616,0.93060666,0.96292984,0.9415509
case_00105,0.8979225,0.89498466,0.97051835,0.92114186
case_00053,0.9609623,0.9609623,0.97870666,0.96687704
case_00489,0.9441902,0.94419795,0.97269815,0.9536955
case_00001,0.8092497,0.8091694,0.97215766,0.8635256
case_00532,0.50459677,0.53779614,0.9755772,0.6726567
case_00571,0.870191,0.8675121,0.97637516,0.9046927
case_00049,0.81009096,0.8087531,0.9725678,0.8638039
case_00080,0.93702465,0.937028,0.9858704,0.9533077
case_00205,0.8142225,0.8142225,0.981169,0.8698713
case_00034,0.9440439,0.9340773,0.9830917,0.95373756
case_00263,0.9260468,0.92457736,0.975419,0.9420144
case_00466,0.0020680951,0.38819328,0.92918575,0.43981573
case_00091,0.8810439,0.8810439,0.9766257,0.9129045
case_00439,0.94160765,0.94160086,0.98128307,0.95483047
case_00562,0.84690386,0.85194474,0.9767552,0.89186794
case_00052,0.8837385,0.8837385,0.97334665,0.9136079
case_00445,0.92695457,0.92666405,0.9689838,0.9408675
case_00264,0.88797456,0.87770116,0.9686966,0.9114575
case_00241,0.85028416,0.89684796,0.98076624,0.90929943
case_00013,0.9245096,0.9245233,0.97463584,0.9412229
case_00415,0.8803522,0.8803522,0.97673726,0.91248053
case_00088,0.92431617,0.92431074,0.9609583,0.9365284
case_00487,0.85657233,0.85657233,0.9696731,0.89427257
case_00273,0.9015654,0.8992815,0.9761573,0.92566806
case_00166,0.91660374,0.9165966,0.98137474,0.9381917
case_00428,0.6917993,0.91262186,0.97463495,0.85968536
case_00581,0.86413765,0.85855156,0.98534626,0.9026785
case_00134,0.92940694,0.9252743,0.9750509,0.94324404
case_00406,0.93781495,0.9368608,0.9747082,0.9497946
case_00569,0.6946972,0.6384083,0.98203504,0.77171355
case_00419,0.8222854,0.8222854,0.987032,0.8772009
case_00243,0.9335168,0.9321818,0.9820795,0.94925934
case_00054,0.7580558,0.76305807,0.9771773,0.83276373
case_00463,0.040332146,0.05028672,0.97583145,0.35548344
case_00050,0.6865162,0.66546625,0.98005265,0.777345
case_00174,0.8099057,0.808644,0.9817887,0.8667795
case_00545,0.88053304,0.88054276,0.9626485,0.90790814
case_00189,0.93064153,0.7843968,0.8928515,0.86929655
case_00585,0.8321106,0.8319932,0.96370965,0.87593776
case_00187,0.92776847,0.9278004,0.9639678,0.93984556
case_00169,0.9023109,0.9022758,0.9778294,0.92747205
case_00058,0.9295267,0.9368818,0.9707491,0.9457192
case_00048,0.93004453,0.9288125,0.9758327,0.9448965
case_00444,0.44255653,0.54500777,0.97022337,0.65259594
case_00235,0.92329216,0.91607356,0.9843137,0.9412265
case_00252,0.9521329,0.94474894,0.97814095,0.95834094
case_00021,0.92811066,0.8970278,0.9775818,0.9342401
case_00413,0.71237206,0.9123703,0.9795193,0.86808723
case_00160,0.6892025,0.6891875,0.975157,0.7845157
case_00276,0.8472001,0.8472001,0.97665226,0.8903508
case_00543,0.95090747,0.9261321,0.9703113,0.94911695
case_00191,0.85266083,0.85266083,0.9755027,0.8936081
case_00485,0.76977867,0.76835763,0.9710415,0.8363926
case_00293,0.9363095,0.9363095,0.97959536,0.95073813
case_00513,0.56929666,0.8950943,0.9760916,0.8134942
case_00443,0.8569213,0.8546948,0.9783189,0.896645
case_00257,0.7781188,0.88346916,0.96427155,0.8752865
case_00408,0.96682906,0.9654093,0.9823906,0.971543
case_00149,0.9588234,0.9588283,0.98182976,0.9664938
case_00130,0.90199494,0.9088408,0.97222555,0.9276871
case_00151,0.9444062,0.94130975,0.9629934,0.94956976
case_00459,0.8321707,0.75796086,0.9776302,0.85592055
case_00099,0.9438837,0.9427136,0.97284937,0.9531489
case_00472,0.8848813,0.88501585,0.980305,0.91673404
case_00087,0.90257734,0.90257734,0.9798996,0.9283514
case_00558,0.9323777,0.93262327,0.97105825,0.94535303
case_00430,0.9528224,0.9526977,0.95832324,0.95461446
case_00214,0.42087358,0.4681853,0.97931844,0.6227924
case_00566,0.8465051,0.8406705,0.9660642,0.88441324
case_00121,0.0,0.54513717,0.9694404,0.5048592
case_00588,0.92052937,0.92052937,0.95450103,0.9318533
case_00020,0.0,0.0,0.97684056,0.32561353
case_00188,0.8855898,0.82092583,0.9713671,0.89262754
case_00071,0.7962615,0.7962615,0.9668986,0.85314053
case_00106,0.7700792,0.7702302,0.97737134,0.8392269
case_00270,0.951592,0.9386285,0.9813632,0.95719457
case_00448,0.32310966,0.946635,0.9818318,0.7505255
case_00535,0.9449885,0.94501084,0.97990906,0.95663613
case_00102,0.95290166,0.9596731,0.9703629,0.9609792
