filename,class0,class1,class2,mean
case_00236,0.92459345,0.9465093,nan,0.9355514
case_00207,0.97889346,0.48021996,nan,0.7295567
case_00212,0.98137003,0.7831779,nan,0.882274
case_00295,0.9708226,0.84061533,nan,0.9057189
case_00547,0.9652424,0.19324617,nan,0.57924426
case_00251,0.94852823,0.9010142,nan,0.9247712
case_00577,0.95176685,0.90064573,nan,0.9262063
case_00548,0.9802202,0.11105063,0.9115328,0.66760117
case_00403,0.9639763,0.9104519,0.9368985,0.93710893
case_00450,0.97145754,0.968199,nan,0.96982825
case_00269,0.9726591,0.9523107,0.74270165,0.8892238
case_00201,0.9796777,0.7334034,nan,0.85654056
case_00161,0.9603311,0.9356454,0.8918527,0.9292764
case_00043,0.9815125,0.9378154,nan,0.959664
case_00217,0.95968336,0.8968046,0.85658693,0.9043583
case_00501,0.9668206,0.9082196,nan,0.9375201
case_00190,0.97909933,0.9327252,0.97000927,0.9606113
case_00409,0.96115315,0.9424851,0.8647876,0.92280865
case_00259,0.95393246,0.93111616,nan,0.9425243
case_00105,0.9667539,0.8979225,0.73757416,0.86741686
case_00053,0.97391105,0.9609623,nan,0.9674367
case_00489,0.9599435,0.9441902,nan,0.95206684
case_00001,0.97017366,0.8092497,nan,0.8897117
case_00532,0.86421674,0.50459677,0.77490884,0.7145741
case_00571,0.9376899,0.870191,0.8122744,0.87338513
case_00049,0.96951216,0.81009096,nan,0.88980156
case_00080,0.98006225,0.93702465,nan,0.9585434
case_00205,0.97287565,0.8142225,nan,0.8935491
case_00034,0.9783013,0.9440439,0.57236844,0.83157116
case_00263,0.9413802,0.9260468,nan,0.9337135
case_00466,0.92422837,0.0020680951,nan,0.46314824
case_00091,0.97215134,0.8810439,nan,0.9265976
case_00439,0.9728503,0.94160765,nan,0.957229
case_00562,0.9715476,0.84690386,0.86855185,0.89566773
case_00052,0.9688354,0.8837385,nan,0.92628694
case_00445,0.9567758,0.92695457,nan,0.9418652
case_00264,0.9662299,0.88797456,nan,0.9271022
case_00241,0.9534941,0.85028416,0.8407697,0.881516
case_00013,0.9634103,0.9245096,nan,0.94395995
case_00415,0.9712457,0.8803522,nan,0.92579895
case_00088,0.78856045,0.92431617,nan,0.8564383
case_00487,0.9660112,0.85657233,nan,0.9112918
case_00273,0.96676517,0.9015654,0.19310345,0.6871447
case_00166,0.9643498,0.91660374,nan,0.9404768
case_00428,0.9610342,0.6917993,0.8570213,0.83661824
case_00581,0.9835357,0.86413765,nan,0.9238367
case_00134,0.9623852,0.92940694,0.8539517,0.9152479
case_00406,0.97700393,0.93781495,nan,0.95740944
case_00569,0.9813866,0.6946972,nan,0.8380419
case_00419,0.9646677,0.8222854,nan,0.89347655
case_00243,0.9749626,0.9335168,0.8852311,0.9312368
case_00054,0.9712974,0.7580558,0.6172043,0.78218585
case_00463,0.9720529,0.040332146,nan,0.5061925
case_00050,0.9768655,0.6865162,0.6188951,0.76075894
case_00174,0.9745774,0.8099057,nan,0.8922416
case_00545,0.81565404,0.88053304,nan,0.8480935
case_00189,0.92982167,0.93064153,nan,0.9302316
case_00585,0.9629787,0.8321106,nan,0.8975446
case_00187,0.9421063,0.92776847,nan,0.93493736
case_00169,0.9703159,0.9023109,nan,0.9363134
case_00058,0.9627085,0.9295267,0.95162815,0.9479544
case_00048,0.96969366,0.93004453,nan,0.9498691
case_00444,0.9618985,0.44255653,0.7531684,0.7192078
case_00235,0.98049617,0.92329216,0.7628699,0.88888603
case_00252,0.9513627,0.9521329,0.7339647,0.87915343
case_00021,0.9747172,0.92811066,0.79399383,0.89894056
case_00413,0.96598613,0.71237206,0.9111142,0.86315745
case_00160,0.9203885,0.6892025,nan,0.8047955
case_00276,0.97271854,0.8472001,nan,0.9099593
case_00543,0.874146,0.95090747,0.79858947,0.87454766
case_00191,0.9751407,0.85266083,nan,0.91390073
case_00485,0.9150139,0.76977867,0.71151906,0.7987705
case_00293,0.943008,0.9363095,nan,0.93965876
case_00513,0.9671479,0.56929666,0.66429996,0.73358154
case_00443,0.97606957,0.8569213,nan,0.91649544
case_00257,0.95590687,0.7781188,0.8806257,0.8715505
case_00408,0.9539007,0.96682906,0.76014894,0.8936262
case_00149,0.96806586,0.9588234,nan,0.9634446
case_00130,0.9576155,0.90199494,0.05923345,0.63961464
case_00151,0.9455973,0.9444062,0.7133531,0.8677855
case_00459,0.976335,0.8321707,0.0,0.60283524
case_00099,0.96114737,0.9438837,0.0,0.63501036
case_00472,0.87454474,0.8848813,0.8885478,0.882658
case_00087,0.97122896,0.90257734,nan,0.9369031
case_00558,0.952602,0.9323777,0.4738979,0.78629255
case_00430,0.88956773,0.9528224,nan,0.92119503
case_00214,0.96891075,0.42087358,0.5815668,0.65711707
case_00566,0.9644723,0.8465051,0.81083405,0.87393713
case_00121,0.9623887,0.0,0.8712197,0.6112028
case_00588,0.9508596,0.92052937,nan,0.93569446
case_00020,0.97044927,0.0,0.0,0.32348308
case_00188,0.9679538,0.8855898,0.728297,0.8606135
case_00071,0.9597786,0.7962615,nan,0.87802005
case_00106,0.9759555,0.7700792,nan,0.8730173
case_00270,0.96918416,0.951592,0.87417096,0.931649
case_00448,0.9809647,0.32310966,nan,0.6520372
case_00535,0.9717832,0.9449885,nan,0.9583858
case_00102,0.9176945,0.95290166,0.7030388,0.8578784
