filename,class0,class1,class2,mean
case_00020,0.00088648975,0.0002699259,1.2349018e-05,0.0003895882
case_00021,0.00029846776,0.0002666945,0.00019822233,0.00025446154
case_00034,0.00036042018,0.00015986877,3.7757804e-05,0.00018601558
case_00050,0.00015678695,7.723544e-05,4.991099e-05,9.4644456e-05
case_00054,0.0007237377,0.00048771998,2.454044e-05,0.00041199938
case_00058,0.0011282074,0.00055757427,0.00011855495,0.0006014455
case_00099,0.0007857011,0.00040896126,1.527028e-05,0.0004033109
case_00102,0.0016537022,0.0012916712,6.198422e-05,0.0010024525
case_00105,0.00036839404,0.005762314,5.070184e-05,0.00206047
case_00121,0.00048441606,0.00017631268,4.8772676e-05,0.00023650046
case_00130,0.000825985,0.0003547788,5.65377e-05,0.00041243384
case_00134,0.0005393768,0.00022929683,0.00012909755,0.00029925705
case_00151,0.0007779991,0.0014990101,5.4223634e-05,0.0007770776
case_00161,0.0006876356,0.00014147758,0.0005925688,0.00047389398
case_00188,0.0005598485,8.705111e-06,0.00010850956,0.00022568773
case_00190,0.00031608104,9.360987e-05,3.7688944e-05,0.00014912662
case_00214,0.0006436638,0.0003977205,1.8500145e-05,0.0003532948
case_00217,0.0010806947,0.00029317942,4.2322325e-05,0.0004720655
case_00235,0.000305158,0.00016110286,2.9628747e-05,0.00016529653
case_00241,0.0015920227,0.0007158557,0.0013527203,0.0012201996
case_00243,0.00053878274,0.0002832315,1.5715463e-05,0.00027924325
case_00252,0.0009936952,0.00035716052,0.00013742044,0.0004960921
case_00257,0.0012109516,4.9530554e-05,0.00021399051,0.0004914909
case_00269,0.00028726808,0.00013411266,3.7612783e-05,0.00015299783
case_00270,0.0003331927,0.00024101244,0.00018817303,0.00025412606
case_00273,0.00043188198,0.0002797869,3.2225512e-06,0.00023829714
case_00403,0.00073096034,0.00017620092,0.0002400515,0.00038240428
case_00408,0.0009098043,0.0015863728,0.00012737155,0.00087451626
case_00409,0.0016644512,0.001882053,3.8568043e-05,0.0011950241
case_00413,0.00066123076,0.00030963583,0.00042206395,0.00046431017
case_00428,0.0006177704,0.0011110469,0.00120433,0.0009777158
case_00444,0.00033670774,0.0002830567,3.9418068e-05,0.0002197275
case_00459,0.0003068292,4.4560533e-05,4.0934734e-05,0.00013077482
case_00472,0.0036590956,0.0036947606,8.624775e-05,0.0024800347
case_00485,0.0034606038,0.0027144647,8.7708126e-05,0.0020875921
case_00513,0.00039817215,0.00016566121,0.00010816315,0.00022399885
case_00532,0.0034279067,0.0030788595,0.0003251699,0.002277312
case_00543,0.0019039274,0.0023594857,0.0020132586,0.0020922238
case_00548,0.0005655407,0.0001530975,5.461596e-05,0.00025775138
case_00558,0.0015308424,0.0017154855,7.8423574e-05,0.0011082505
case_00562,0.00051960937,0.0002144777,1.5448832e-05,0.0002498453
case_00566,0.00046306892,7.1321156e-05,1.4647685e-05,0.00018301258
case_00571,0.0014090963,0.0011465008,9.498676e-05,0.000883528
