filename,class0,class1,class2,mean
case_00236,0.9270931,0.9516548,nan,0.93937397
case_00207,0.9787483,0.03658027,nan,0.5076643
case_00212,0.98222107,0.7313264,nan,0.85677373
case_00295,0.9709298,0.80513114,nan,0.88803047
case_00547,0.97133404,0.2522688,nan,0.6118014
case_00251,0.9492007,0.9277865,nan,0.9384936
case_00577,0.9501381,0.8884809,nan,0.9193095
case_00548,0.97969335,0.30456853,0.8933642,0.7258754
case_00403,0.96704894,0.95624274,0.9395754,0.954289
case_00450,0.9741998,0.9538641,nan,0.96403193
case_00269,0.97416,0.9553098,0.7944497,0.9079731
case_00201,0.9823015,0.79602224,nan,0.8891618
case_00161,0.96028626,0.93634635,0.8851595,0.92726403
case_00043,0.98205274,0.93372285,nan,0.95788777
case_00217,0.9587297,0.91497695,0.86273587,0.9121475
case_00501,0.9674174,0.891989,nan,0.92970324
case_00190,0.9805425,0.9284738,0.96951854,0.9595116
case_00409,0.95630056,0.9323172,0.8549618,0.9145265
case_00259,0.9561421,0.95048195,nan,0.95331204
case_00105,0.9682995,0.4589263,0.76577115,0.730999
case_00053,0.9745087,0.9668249,nan,0.97066677
case_00489,0.962949,0.9470027,nan,0.95497584
case_00001,0.9685385,0.11227045,nan,0.5404045
case_00532,0.8830102,0.5301176,0.4229885,0.6120388
case_00571,0.93932897,0.87362,0.794171,0.86904
case_00049,0.970998,0.7825952,nan,0.8767966
case_00080,0.9810796,0.9434602,nan,0.9622699
case_00205,0.9703231,0.7265899,nan,0.8484565
case_00034,0.97956634,0.95194393,0.6903522,0.8739541
case_00263,0.93715,0.91621655,nan,0.9266833
case_00466,0.9258666,0.0030728977,nan,0.46446976
case_00091,0.97186226,0.6756104,nan,0.8237363
case_00439,0.9726403,0.9340013,nan,0.9533208
case_00562,0.975119,0.8127115,0.88333905,0.89038986
case_00052,0.968515,0.9073548,nan,0.9379349
case_00445,0.9623163,0.93305856,nan,0.9476874
case_00264,0.9675636,0.077190764,nan,0.5223772
case_00241,0.95431685,0.8949045,0.86741614,0.9055459
case_00013,0.96820027,0.9362794,nan,0.9522399
case_00415,0.9736046,0.90499884,nan,0.9393017
case_00088,0.77838624,0.9183134,nan,0.8483498
case_00487,0.96762526,0.8831563,nan,0.9253908
case_00273,0.9642704,0.88545614,0.3853211,0.74501586
case_00166,0.96838284,0.93498766,nan,0.95168525
case_00428,0.95978135,0.6858558,0.844898,0.83017844
case_00581,0.984598,0.8917749,nan,0.9381864
case_00134,0.96434677,0.9496438,0.8345362,0.91617554
case_00406,0.97905654,0.941198,nan,0.96012723
case_00569,0.98313946,0.72364503,nan,0.85339224
case_00419,0.964634,0.814955,nan,0.88979447
case_00243,0.97571176,0.927129,0.94387466,0.94890517
case_00054,0.9722193,0.7793348,0.74360126,0.83171844
case_00463,0.97453105,0.0,nan,0.48726553
case_00050,0.9784343,0.76010895,0.61967343,0.78607225
case_00174,0.97137636,0.6767564,nan,0.8240664
case_00545,0.8210406,0.8647447,nan,0.84289265
case_00189,0.92998314,0.5530838,nan,0.74153346
case_00585,0.9627779,0.40245846,nan,0.6826182
case_00187,0.9453417,0.9355753,nan,0.94045854
case_00169,0.9720302,0.9057868,nan,0.9389085
case_00058,0.9645538,0.9305658,0.9530195,0.9493797
case_00048,0.9686017,0.9365525,nan,0.9525771
case_00444,0.9793279,0.3838722,0.7208589,0.69468635
case_00235,0.98036116,0.9052519,0.75355285,0.87972194
case_00252,0.9578256,0.96593755,0.80763716,0.91046673
case_00021,0.97163224,0.86545146,0.7885361,0.87520665
case_00413,0.967553,0.7724555,0.9382421,0.89275026
case_00160,0.93710977,0.7529375,nan,0.84502363
case_00276,0.97406244,0.82034254,nan,0.8972025
case_00543,0.9003476,0.95056766,0.8422359,0.897717
case_00191,0.9759111,0.8780374,nan,0.92697424
case_00485,0.9389343,0.8443059,0.7538748,0.84570503
case_00293,0.9430214,0.93557143,nan,0.9392964
case_00513,0.96867794,0.9064566,0.8729974,0.91604394
case_00443,0.97772473,0.87311506,nan,0.9254199
case_00257,0.95450133,0.8819994,0.8855178,0.9073395
case_00408,0.9612523,0.9721576,0.794971,0.9094603
case_00149,0.96938485,0.9564597,nan,0.9629223
case_00130,0.9578398,0.9093005,0.16920474,0.6787817
case_00151,0.94473505,0.9406546,0.75578856,0.88039273
case_00459,0.9754176,0.7524088,0.0,0.5759421
case_00099,0.96398216,0.94490397,0.0,0.6362954
case_00472,0.8734148,0.8802182,0.8977944,0.88380915
case_00087,0.9705027,0.9043594,nan,0.93743104
case_00558,0.95451784,0.93169355,0.5317989,0.8060034
case_00430,0.90070194,0.9557072,nan,0.92820454
case_00214,0.96805596,0.3352155,0.77239114,0.69188756
case_00566,0.9655101,0.8444708,0.8035165,0.87116575
case_00121,0.9627336,0.0,0.8156614,0.5927983
case_00588,0.9496738,0.9127837,nan,0.93122876
case_00020,0.96908,0.0,0.0,0.32302666
case_00188,0.97019404,0.8773115,0.6968796,0.8481284
case_00071,0.9596006,0.82747424,nan,0.8935374
case_00106,0.97504354,0.35216767,nan,0.6636056
case_00270,0.9699347,0.9558034,0.8709456,0.9322279
case_00448,0.982372,0.20427263,nan,0.5933223
case_00535,0.9737008,0.9476636,nan,0.9606822
case_00102,0.9201719,0.96011806,0.8462776,0.9088559
