filename,class0,class1,class2,mean
case_00236,0.0024764594,0.0019282049,2.81103e-06,0.0014691585
case_00207,0.0003275862,0.00047041947,0.000249453,0.00034915292
case_00212,7.301197e-05,0.00011005297,2.4174685e-07,6.110223e-05
case_00295,0.0008143452,0.0003494448,3.362826e-06,0.00038905093
case_00547,0.00042942548,0.0018804959,0.00046985908,0.0009265935
case_00251,0.0013418723,0.00020472334,3.918757e-07,0.0005156625
case_00577,0.0012229845,0.0021043203,0.00045348675,0.001260264
case_00548,0.0005655507,0.0001530975,5.461597e-05,0.00025775473
case_00403,0.00073095935,0.00017620051,0.00024005129,0.00038240373
case_00450,0.00019751834,0.00042444616,2.1317806e-05,0.00021442743
case_00269,0.00028726223,0.00013411292,3.7612775e-05,0.00015299597
case_00201,0.00014964775,6.5177795e-05,3.121532e-07,7.1712566e-05
case_00161,0.0006876452,0.00014147768,0.0005925693,0.0004738974
case_00043,5.835776e-05,4.2284304e-05,2.903803e-07,3.3644148e-05
case_00217,0.0010806895,0.0002931793,4.2322354e-05,0.0004720637
case_00501,0.00038212637,0.00013682684,2.333926e-05,0.00018076414
case_00190,0.00031607944,9.360993e-05,3.768868e-05,0.00014912602
case_00409,0.0016644511,0.001882055,3.856805e-05,0.0011950248
case_00259,0.0010222723,0.00013793353,4.651381e-07,0.00038689034
case_00105,0.000368397,0.0057623144,5.0701834e-05,0.002060471
case_00053,0.000135124,5.369751e-05,2.250632e-07,6.301553e-05
case_00489,0.00095592986,0.0007775916,1.2811321e-06,0.00057826756
case_00001,0.00085164746,0.00022089455,0.00010566397,0.00039273535
case_00532,0.003427904,0.0030788563,0.00032516988,0.0022773102
case_00571,0.0014090982,0.001146499,9.4986746e-05,0.000883528
case_00049,0.0003944029,0.00011382666,6.2458975e-07,0.00016961804
case_00080,0.00018606514,0.0001431843,3.8045573e-07,0.00010987662
case_00205,0.00038535465,0.00028600253,2.7442406e-05,0.00023293319
case_00034,0.0003604165,0.00015986805,3.775779e-05,0.00018601412
case_00263,0.0014021508,0.0015342729,2.8441476e-05,0.0009882884
case_00466,0.0016480662,0.0057445657,0.0012309526,0.002874528
case_00091,0.00075753283,0.0012635754,5.2577457e-07,0.000673878
case_00439,0.00055461796,0.0003628536,3.5114823e-07,0.00030594092
case_00562,0.00051960564,0.00021447783,1.5448839e-05,0.0002498441
case_00052,0.0008451692,0.00018473591,9.605778e-06,0.0003465036
case_00445,0.0004763335,0.00072121486,5.593262e-06,0.0004010472
case_00264,0.0002660784,0.00029373282,0.00031176617,0.00029052582
case_00241,0.0015920177,0.0007158555,0.0013527242,0.0012201992
case_00013,0.000435133,0.0001410485,2.1331856e-07,0.00019213161
case_00415,0.00056737673,0.00022618484,2.672164e-07,0.0002646096
case_00088,0.0027967684,0.0020041964,5.9107356e-07,0.0016005187
case_00487,0.00041959205,6.220226e-05,3.5794034e-07,0.00016071742
case_00273,0.0004318796,0.0002797871,3.2225491e-06,0.00023829642
case_00166,0.0004076679,0.0002978786,2.548483e-07,0.0002352671
case_00428,0.00061777246,0.0011110471,0.00120433,0.0009777165
case_00581,0.00014907653,5.087536e-05,4.6716036e-07,6.680635e-05
case_00134,0.00053936965,0.0002292978,0.00012909733,0.00029925493
case_00406,0.00050985714,0.00024440765,6.2968998e-06,0.00025352056
case_00569,0.0002033792,4.5089568e-05,5.245771e-06,8.457151e-05
case_00419,0.0010440615,0.0010163825,3.939826e-07,0.00068694603
case_00243,0.0005387826,0.00028323114,1.5715415e-05,0.00027924308
case_00054,0.0007237412,0.00048772027,2.4540444e-05,0.00041200066
case_00463,0.00040315915,0.0003847967,7.2656445e-07,0.00026289411
case_00050,0.00015677755,7.7235476e-05,4.9910985e-05,9.464133e-05
case_00174,0.00025348284,0.00023187547,4.374074e-06,0.00016324413
case_00545,0.0077065406,0.012248772,4.9685386e-05,0.006668333
case_00189,0.0019806745,0.03657173,0.046943393,0.0284986
case_00585,0.0013382304,0.00010743777,8.420652e-05,0.00050995825
case_00187,0.0013015029,0.00095440407,3.5479744e-07,0.0007520873
case_00169,0.0004730633,0.00018687658,4.6917293e-07,0.00022013635
case_00058,0.0011281703,0.0005575761,0.000118553886,0.0006014334
case_00048,0.0011705357,0.00012314973,5.4330853e-06,0.0004330395
case_00444,0.00033671132,0.00028305667,3.9418053e-05,0.00021972868
case_00235,0.00030515433,0.00016110257,2.962876e-05,0.00016529522
case_00252,0.0009936937,0.00035716523,0.00013742049,0.0004960931
case_00021,0.00029846065,0.0002666946,0.00019822243,0.00025445924
case_00413,0.0006612361,0.0003096356,0.00042206547,0.00046431238
case_00160,0.0013186855,0.0017222892,7.162233e-07,0.001013897
case_00276,0.0004800847,0.000120479104,6.351927e-07,0.00020039968
case_00543,0.0019039359,0.0023594853,0.0020132593,0.0020922266
case_00191,0.0003826582,8.820918e-06,2.9870395e-07,0.0001305926
case_00485,0.0034606252,0.0027144616,8.770814e-05,0.0020875984
case_00293,0.0007974037,0.0005494917,4.4032086e-07,0.00044911192
case_00513,0.00039817326,0.00016566119,0.00010816324,0.00022399922
case_00443,0.0007883319,0.0001431377,3.694306e-06,0.00031172132
case_00257,0.0012109423,4.953065e-05,0.00021399099,0.00049148797
case_00408,0.0009098027,0.0015863833,0.0001273716,0.0008745192
case_00149,0.0008072968,0.0007047444,3.731579e-07,0.0005041381
case_00130,0.00082597113,0.0003547797,5.6537712e-05,0.00041242948
case_00151,0.00077799906,0.0014990102,5.422365e-05,0.0007770776
case_00459,0.00030683633,4.4560496e-05,4.0934727e-05,0.00013077719
case_00099,0.0007856894,0.000408962,1.5270276e-05,0.00040330723
case_00472,0.0036590938,0.0036947643,8.624782e-05,0.0024800354
case_00087,0.0006508222,0.0002632231,2.588498e-07,0.00030476804
case_00558,0.0015308439,0.0017154888,7.842355e-05,0.0011082521
case_00430,0.0022696531,0.008357593,7.935773e-06,0.0035450605
case_00214,0.0006436736,0.0003977205,1.8500157e-05,0.00035329806
case_00566,0.00046307562,7.13211e-05,1.4647682e-05,0.0001830148
case_00121,0.000484416,0.00017631265,4.8772672e-05,0.00023650045
case_00588,0.0011512827,9.986331e-05,1.8452229e-07,0.00041711016
case_00020,0.00088648405,0.00026992592,1.2349018e-05,0.00038958632
case_00188,0.0005598463,8.705194e-06,0.00010850957,0.000225687
