filename,class0,class1,class2,mean
case_00236,0.95037717,0.950394,0.9708295,0.9572002
case_00207,0.059747458,0.6163424,0.9844675,0.5535191
case_00212,0.7280275,0.7280275,0.9855501,0.81386834
case_00295,0.80748606,0.80795383,0.9780475,0.86449575
case_00547,0.30871996,0.5374882,0.96249586,0.6029014
case_00251,0.92363757,0.92357725,0.95908767,0.93543416
case_00577,0.8887817,0.9132435,0.97241527,0.9248135
case_00548,0.32065088,0.71981937,0.98308283,0.6745177
case_00403,0.9414662,0.9397397,0.9759847,0.95239687
case_00450,0.9620632,0.96316683,0.9803723,0.9685342
case_00269,0.95529294,0.94921726,0.9815953,0.9620352
case_00201,0.79544914,0.7955919,0.98382205,0.85828775
case_00161,0.935336,0.90500104,0.9801108,0.9401493
case_00043,0.9327547,0.932895,0.98391473,0.94985485
case_00217,0.91584814,0.9108613,0.96994483,0.9322181
case_00501,0.89714956,0.8822385,0.9692721,0.91622
case_00190,0.9300117,0.9556386,0.98492813,0.9568594
case_00409,0.9319006,0.93139434,0.98360646,0.94896716
case_00259,0.95019126,0.95019644,0.9624492,0.95427895
case_00105,0.49748796,0.5059089,0.8609847,0.6214605
case_00053,0.9665839,0.9666116,0.9787966,0.970664
case_00489,0.94652927,0.94656277,0.97484463,0.9559789
case_00001,0.14039409,0.613061,0.9712933,0.5749161
case_00532,0.5449997,0.5440179,0.9735201,0.6875126
case_00571,0.8743384,0.87209094,0.9767866,0.9077387
case_00049,0.7818648,0.7819596,0.9748771,0.84623384
case_00080,0.94200957,0.9421395,0.98636824,0.9568391
case_00205,0.7411331,0.7593447,0.981192,0.8272233
case_00034,0.9483909,0.9389743,0.9834307,0.956932
case_00263,0.9123922,0.9113325,0.9753733,0.9330327
case_00466,0.019845776,0.3905371,0.9333167,0.44789985
case_00091,0.5816356,0.5811356,0.9547893,0.70585346
case_00439,0.9332045,0.93324083,0.98273385,0.9497264
case_00562,0.8180606,0.8328037,0.9813477,0.87740403
case_00052,0.9065965,0.9028988,0.9725375,0.92734426
case_00445,0.93062186,0.93042696,0.97174865,0.94426584
case_00264,0.21868148,0.88066846,0.96973664,0.68969554
case_00241,0.88459194,0.87497973,0.97986543,0.9131457
case_00013,0.93633395,0.93631506,0.97684985,0.9498329
case_00415,0.9034626,0.9034059,0.9773516,0.9280734
case_00088,0.91385937,0.91382813,0.95207316,0.92658687
case_00487,0.8790107,0.87931037,0.97127146,0.9098642
case_00273,0.88293636,0.88170886,0.97545826,0.9133678
case_00166,0.9361156,0.93609303,0.98169804,0.95130223
case_00428,0.68709534,0.903725,0.9741662,0.8549955
case_00581,0.8854979,0.88539785,0.9860533,0.918983
case_00134,0.95053804,0.9327344,0.9760313,0.9531012
case_00406,0.9408505,0.9405826,0.97737217,0.95293504
case_00569,0.71833533,0.70182675,0.9837744,0.80131215
case_00419,0.81546044,0.8152539,0.9884486,0.8730543
case_00243,0.92476296,0.92578804,0.9831215,0.9445575
case_00054,0.76481974,0.7673534,0.9779398,0.8367043
case_00463,0.0,0.0,0.97686595,0.325622
case_00050,0.7486587,0.7054337,0.9811068,0.81173307
case_00174,0.6974105,0.70008415,0.98150975,0.7930015
case_00545,0.8572912,0.85749084,0.9531219,0.8893013
case_00189,0.5048709,0.30335647,0.5100163,0.4394146
case_00585,0.5346905,0.83383113,0.96328694,0.77726954
case_00187,0.93254757,0.932594,0.96493983,0.9433605
case_00169,0.9050273,0.9050535,0.97898316,0.929688
case_00058,0.93062466,0.9383007,0.9716722,0.94686586
case_00048,0.93489903,0.9339761,0.9743452,0.9477401
case_00444,0.3693898,0.494718,0.9879024,0.61733675
case_00235,0.90672624,0.89841413,0.9850424,0.9300609
case_00252,0.96529496,0.9604569,0.9770902,0.967614
case_00021,0.859039,0.86558956,0.9778646,0.90083104
case_00413,0.77621216,0.9166629,0.98301,0.89196163
case_00160,0.7635837,0.7632742,0.97639424,0.83441734
case_00276,0.8219969,0.8219912,0.9790292,0.8743391
case_00543,0.94747853,0.92944586,0.9688408,0.9485884
case_00191,0.8823803,0.88264,0.9763644,0.91379493
case_00485,0.8454409,0.8432232,0.970774,0.8864794
case_00293,0.9359309,0.9358723,0.9786388,0.9501474
case_00513,0.90629834,0.9038577,0.97745335,0.9292032
case_00443,0.86944985,0.8683728,0.97953,0.9057842
case_00257,0.88068545,0.88419735,0.96408284,0.9096553
case_00408,0.97049767,0.9692613,0.98272705,0.97416204
case_00149,0.9545267,0.95456284,0.9821306,0.96374005
case_00130,0.90725297,0.9060908,0.972472,0.92860526
case_00151,0.9435677,0.9410534,0.9624147,0.949012
case_00459,0.85177207,0.79794645,0.9801252,0.8766146
case_00099,0.94556993,0.9443791,0.9734279,0.954459
case_00472,0.88117254,0.881766,0.9820207,0.9149864
case_00087,0.90317553,0.9032108,0.97863513,0.9283405
case_00558,0.93413067,0.9321051,0.9731161,0.94645065
case_00430,0.9553166,0.95530534,0.95975894,0.9567936
case_00214,0.41308483,0.46456692,0.9795585,0.6190701
case_00566,0.842978,0.8362992,0.96722704,0.88216805
case_00121,0.0,0.49526036,0.96768844,0.4876496
case_00588,0.9149166,0.9148349,0.9518502,0.92720056
case_00020,0.0,0.0,0.9755141,0.32517138
case_00188,0.87626487,0.80560446,0.973579,0.8851494
case_00071,0.8470272,0.8472568,0.96637976,0.88688785
case_00106,0.5445311,0.7676405,0.9770187,0.76306343
case_00270,0.9553853,0.9411826,0.9822067,0.95959157
case_00448,0.32470495,0.9427455,0.98371786,0.7503894
case_00535,0.9442329,0.94436586,0.9814944,0.9566977
case_00102,0.9617787,0.9615165,0.9703637,0.96455294
