filename,class0,class1,class2,mean
case_00236,0.9291427,0.9536566,nan,0.9413997
case_00207,0.974604,0.0,nan,0.487302
case_00212,0.9743671,0.86798716,nan,0.92117715
case_00295,0.96681315,0.8201464,nan,0.89347976
case_00547,0.9390557,0.0,nan,0.46952784
case_00251,0.9468383,0.9115943,nan,0.92921627
case_00577,0.94539094,0.8240925,nan,0.8847417
case_00548,0.97395146,0.0,0.8652147,0.6130554
case_00403,0.96172667,0.5556055,0.9335886,0.8169735
case_00450,0.9662812,0.95776796,nan,0.96202457
case_00269,0.9691082,0.82206994,0.75781447,0.8496642
case_00201,0.97279286,0.7328713,nan,0.8528321
case_00161,0.9542493,0.90956163,0.8819409,0.9152506
case_00043,0.974517,0.90834016,nan,0.94142854
case_00217,0.94898826,0.88314295,0.87312245,0.9017512
case_00501,0.96576095,0.9186264,nan,0.9421937
case_00190,0.9728256,0.92639685,0.9595869,0.9529364
case_00409,0.963009,0.943843,0.061658397,0.6561701
case_00259,0.95324934,0.93875587,nan,0.9460026
case_00105,0.9600076,0.80983585,0.7370036,0.8356157
case_00053,0.9706821,0.95890063,nan,0.96479136
case_00489,0.94729775,0.9193772,nan,0.93333745
case_00001,0.96319175,0.45670262,nan,0.70994717
case_00532,0.95191395,0.79652345,0.71772563,0.8220544
case_00571,0.9388931,0.8799614,0.84214884,0.8870011
case_00049,0.96365345,0.8531218,nan,0.90838766
case_00080,0.9727996,0.9085401,nan,0.9406699
case_00205,0.9640658,0.65330136,nan,0.8086836
case_00034,0.97110194,0.9100386,0.6479921,0.8430442
case_00263,0.91168827,0.8665536,nan,0.88912094
case_00466,0.9301927,0.0,nan,0.46509635
case_00091,0.9692669,0.8841582,nan,0.9267125
case_00439,0.96233416,0.9233316,nan,0.9428329
case_00562,0.9691828,0.82824427,0.8621049,0.88651067
case_00052,0.9660785,0.8909853,nan,0.9285319
case_00445,0.952778,0.91634136,nan,0.9345597
case_00264,0.9632819,0.8647141,nan,0.913998
case_00241,0.9446186,0.84644437,0.86085296,0.883972
case_00013,0.96159524,0.91518927,nan,0.9383923
case_00415,0.97074896,0.8902609,nan,0.9305049
case_00088,0.76640683,0.91072816,nan,0.8385675
case_00487,0.9658182,0.83405876,nan,0.89993846
case_00273,0.9634273,0.873272,0.0,0.6122331
case_00166,0.9582218,0.92013824,nan,0.93918
case_00428,0.9575552,0.6783332,0.8452428,0.8270437
case_00581,0.97971207,0.8589406,nan,0.9193263
case_00134,0.95151025,0.93658596,0.8256362,0.9045775
case_00406,0.9738164,0.9349322,nan,0.9543743
case_00569,0.9781808,0.6813984,nan,0.82978964
case_00419,0.95581186,0.81046146,nan,0.88313663
case_00243,0.9724809,0.9304453,0.807931,0.90361905
case_00054,0.9702716,0.06536375,0.82840234,0.62134594
case_00463,0.96567875,0.0,nan,0.48283938
case_00050,0.96931386,0.668064,0.6374598,0.75827926
case_00174,0.9608816,0.8567728,nan,0.9088272
case_00545,0.81130946,0.87116563,nan,0.84123755
case_00189,0.9124744,0.85067576,nan,0.8815751
case_00585,0.9626625,0.80613536,nan,0.88439894
case_00187,0.93899435,0.91858035,nan,0.92878735
case_00169,0.96717817,0.89674956,nan,0.93196386
case_00058,0.95956373,0.90036523,0.94419944,0.9347095
case_00048,0.9675846,0.5200933,nan,0.74383897
case_00444,0.9748321,0.55689216,0.66882354,0.7335159
case_00235,0.97030026,0.8860769,0.64345914,0.8332787
case_00252,0.9527127,0.9573656,0.79951674,0.9031983
case_00021,0.96239686,0.88361734,0.64120615,0.8290734
case_00413,0.961349,0.5771988,0.92819065,0.82224613
case_00160,0.9479123,0.82099015,nan,0.8844512
case_00276,0.9722864,0.8184897,nan,0.895388
case_00543,0.910936,0.9433751,0.89607406,0.9167951
case_00191,0.972416,0.89925134,nan,0.9358337
case_00485,0.9394849,0.8605509,0.62198204,0.80733925
case_00293,0.9404465,0.93188876,nan,0.9361676
case_00513,0.96379185,0.9221943,0.86457443,0.9168535
case_00443,0.9734029,0.88139653,nan,0.92739975
case_00257,0.9509249,0.88402224,0.883681,0.9062094
case_00408,0.9610793,0.97181255,0.26947802,0.7341233
case_00149,0.9576533,0.93929577,nan,0.9484745
case_00130,0.94122267,0.90738446,0.0,0.61620235
case_00151,0.9376155,0.9443259,0.6678088,0.84991676
case_00459,0.96624964,0.67216885,0.0,0.5461395
case_00099,0.9537231,0.92633295,0.0,0.6266853
case_00472,0.88315666,0.89486843,0.8670361,0.8816871
case_00087,0.963442,0.8705118,nan,0.9169769
case_00558,0.94154674,0.9287093,0.78364474,0.8846336
case_00430,0.90224147,0.9509975,nan,0.92661947
case_00214,0.9647443,0.0,0.64774317,0.53749585
case_00566,0.9621054,0.8489826,0.7982494,0.8697791
case_00121,0.9608461,0.0,0.86285377,0.60789996
case_00588,0.9489647,0.92664117,nan,0.9378029
case_00020,0.969637,0.0,0.0,0.32321233
case_00188,0.9651048,0.8894987,0.68149495,0.8453662
case_00071,0.9576548,0.8324368,nan,0.89504576
case_00106,0.9711289,0.51164204,nan,0.74138546
case_00270,0.96027493,0.94261736,0.85181135,0.9182346
case_00448,0.9753123,0.0,nan,0.48765615
case_00535,0.9671999,0.9371001,nan,0.95215
case_00102,0.91932654,0.9311839,0.37587848,0.7421296
