filename,class0,class1,class2,mean
case_00236,0.95071405,0.95065767,0.97108376,0.9574852
case_00207,0.30952588,0.77606755,0.9802609,0.6886181
case_00212,0.787087,0.7871676,0.9761455,0.8501334
case_00295,0.877723,0.81991386,0.97095144,0.8895294
case_00547,0.3027345,0.44836876,0.9572073,0.56943685
case_00251,0.8811249,0.8809992,0.956775,0.90629965
case_00577,0.8786973,0.9163601,0.97117925,0.92207885
case_00548,0.8443264,0.85902977,0.97971827,0.89435816
case_00403,0.9062489,0.9194492,0.96954274,0.93174696
case_00450,0.9689092,0.96776664,0.9746872,0.9704544
case_00269,0.9349096,0.92333,0.9739104,0.94405
case_00201,0.61738735,0.58948284,0.9741083,0.72699285
case_00161,0.9063613,0.90497655,0.9759389,0.9290922
case_00043,0.9146822,0.9146718,0.97751313,0.9356224
case_00217,0.87869173,0.8670403,0.9559953,0.9005758
case_00501,0.924573,0.91053444,0.96729374,0.9341337
case_00190,0.9203597,0.9447082,0.97798896,0.94768566
case_00409,0.9342843,0.93349427,0.98205465,0.94994444
case_00259,0.91595423,0.9142445,0.95617235,0.9287904
case_00105,0.92173094,0.9185328,0.97110945,0.93712443
case_00053,0.35009915,0.3502306,0.92912775,0.5431525
case_00489,0.93483907,0.9292872,0.9639822,0.9427028
case_00001,0.7945616,0.7634172,0.96171075,0.8398965
case_00532,0.51725876,0.5495135,0.9708696,0.67921394
case_00571,0.8764958,0.8713655,0.97451794,0.90745974
case_00049,0.85977566,0.8575767,0.9688964,0.89541626
case_00080,0.9182123,0.9181975,0.98006964,0.9388265
case_00205,0.729492,0.8026963,0.9763245,0.8361709
case_00034,0.910915,0.88882965,0.97450554,0.92475003
case_00263,0.86368364,0.86302185,0.96978605,0.8988306
case_00466,0.03301718,0.35326347,0.9212433,0.43584132
case_00091,0.88735867,0.887359,0.97357225,0.9160967
case_00439,0.93596125,0.9359853,0.97681755,0.94958806
case_00562,0.8193921,0.8248675,0.97786766,0.87404245
case_00052,0.8890185,0.885901,0.9689549,0.91462487
case_00445,0.90011466,0.89849967,0.96572006,0.9214447
case_00264,0.8696241,0.841444,0.96834636,0.8931382
case_00241,0.89796346,0.8870536,0.97877103,0.9212627
case_00013,0.9249595,0.9250106,0.9718881,0.9406194
case_00415,0.8765143,0.87330323,0.9747158,0.90817785
case_00088,0.8388189,0.8388115,0.8831986,0.85360974
case_00487,0.75580364,0.5623717,0.9441894,0.7541216
case_00273,0.89833504,0.8970504,0.97405845,0.9231479
case_00166,0.9097592,0.90987825,0.9742073,0.93128157
case_00428,0.6876804,0.91132545,0.9712661,0.85675734
case_00581,0.8719943,0.8673147,0.98223436,0.9071811
case_00134,0.9350971,0.91795653,0.9690368,0.9406968
case_00406,0.81667846,0.8151911,0.959139,0.8636696
case_00569,0.7158716,0.64822346,0.9790986,0.7810645
case_00419,0.8037562,0.8036033,0.9810923,0.8628172
case_00243,0.9343172,0.92884797,0.9794464,0.9475372
case_00054,0.8065,0.8057112,0.9752815,0.86249757
case_00463,0.0,0.0,0.9730232,0.32434106
case_00050,0.70739424,0.66746604,0.9728419,0.78256744
case_00174,0.85932165,0.8580232,0.9693865,0.89557713
case_00545,0.8995527,0.8994614,0.9566716,0.91856194
case_00189,0.9409758,0.9300046,0.9657965,0.9455922
case_00585,0.0,0.7340595,0.9565375,0.56353235
case_00187,0.9338461,0.93386054,0.9610728,0.94292647
case_00169,0.8922808,0.89165485,0.9741789,0.91937155
case_00058,0.92752194,0.9287889,0.96773875,0.9413498
case_00048,0.91937786,0.9178675,0.97230035,0.9365153
case_00444,0.26985994,0.4137823,0.9767479,0.5534634
case_00235,0.8565453,0.8418266,0.9751726,0.89118147
case_00252,0.9557206,0.94943,0.9739374,0.959696
case_00021,0.8505893,0.85294974,0.9737643,0.8924344
case_00413,0.75635386,0.88532877,0.97176677,0.8711498
case_00160,0.63837403,0.63820773,0.9719155,0.7494991
case_00276,0.8032342,0.70382226,0.9699451,0.8256672
case_00543,0.9515998,0.9362582,0.97024554,0.95270115
case_00191,0.89919794,0.8994365,0.97286075,0.9238317
case_00485,0.8561468,0.8535469,0.9680083,0.89256734
case_00293,0.933574,0.9334993,0.9763765,0.9478166
case_00513,0.9118703,0.89627457,0.97255844,0.9269011
case_00443,0.87477136,0.863884,0.97610015,0.9049185
case_00257,0.74414593,0.85751486,0.96063066,0.8540971
case_00408,0.9692108,0.9684705,0.9791469,0.97227603
case_00149,0.95652294,0.95654875,0.9767088,0.9632602
case_00130,0.8852369,0.8802701,0.9626068,0.9093712
case_00151,0.93833375,0.9355183,0.95692617,0.9435927
case_00459,0.81446517,0.72869253,0.9756875,0.83961505
case_00099,0.9355633,0.93502116,0.96767044,0.946085
case_00472,0.8940622,0.89328116,0.9742683,0.92053723
case_00087,0.89213294,0.89159465,0.9728384,0.91885537
case_00558,0.9253197,0.9231349,0.9654669,0.9379738
case_00430,0.95191526,0.95069337,0.9571419,0.95325017
case_00214,0.43361726,0.47948226,0.97884,0.6306465
case_00566,0.8746295,0.8597992,0.96407044,0.8994997
case_00121,0.0,0.772856,0.9616837,0.5781799
case_00588,0.89667046,0.8964801,0.94731325,0.9134879
case_00020,0.042862203,0.045980927,0.9730866,0.35397658
case_00188,0.79716086,0.7320836,0.9661991,0.8318145
case_00071,0.8618941,0.861921,0.96778286,0.89719933
case_00106,0.80492187,0.8168144,0.97258216,0.8647728
case_00270,0.9562199,0.9419838,0.9762825,0.95816207
case_00448,0.8033272,0.92183036,0.97415936,0.89977235
case_00535,0.914682,0.9148328,0.97798115,0.93583196
case_00102,0.93226355,0.95087373,0.9604681,0.9478684
