filename,class0,class1,class2,mean
case_00020,0.96700025,0.042862203,0.0,0.3366208
case_00021,0.9658721,0.8505893,0.6853034,0.8339216
case_00034,0.971044,0.910915,0.5143878,0.7987823
case_00050,0.9698084,0.70739424,0.5866886,0.7546304
case_00054,0.9712201,0.8065,0.7925156,0.85674524
case_00058,0.9595776,0.92752194,0.9312832,0.93946093
case_00099,0.95578635,0.9355633,0.33333334,0.741561
case_00102,0.9145547,0.93226355,0.42507038,0.75729614
case_00105,0.96395993,0.92173094,0.77540594,0.8870323
case_00121,0.9580826,0.0,0.61214113,0.52340794
case_00130,0.9445243,0.8852369,0.1595092,0.66309017
case_00134,0.9570075,0.9350971,0.8351097,0.90907145
case_00151,0.9407753,0.93833375,0.7547811,0.87796336
case_00161,0.9572222,0.9063613,0.8986066,0.92073005
case_00188,0.96293914,0.79716086,0.62187576,0.79399186
case_00190,0.97379553,0.9203597,0.95809937,0.95075154
case_00214,0.96607184,0.43361726,0.7490988,0.71626264
case_00217,0.9449899,0.87869173,0.8107583,0.87814665
case_00235,0.97136104,0.8565453,0.67798823,0.83529824
case_00241,0.9519301,0.89796346,0.86936706,0.90642023
case_00243,0.97254705,0.9343172,0.8560011,0.9209551
case_00252,0.95103246,0.9557206,0.7632383,0.8899972
case_00257,0.9509595,0.74414593,0.8056558,0.8335871
case_00269,0.97063524,0.9349096,0.7490766,0.8848738
case_00270,0.9642387,0.9562199,0.86903185,0.92983013
case_00273,0.9649053,0.89833504,0.0,0.6210801
case_00403,0.9606996,0.9062489,0.92651206,0.93115354
case_00408,0.95611405,0.9692108,0.8579532,0.92775935
case_00409,0.9540576,0.9342843,0.8236735,0.9040051
case_00413,0.96090454,0.75635386,0.89474857,0.87066907
case_00428,0.95839685,0.6876804,0.8428195,0.8296323
case_00444,0.96432245,0.26985994,0.652819,0.6290004
case_00459,0.9719253,0.81446517,0.07919463,0.62186176
case_00472,0.8770557,0.8940622,0.8725787,0.8812322
case_00485,0.9409797,0.8561468,0.76942074,0.8555158
case_00513,0.9630476,0.9118703,0.8693968,0.91477156
case_00532,0.8590691,0.51725876,0.8129644,0.72976404
case_00543,0.9043739,0.9515998,0.8495423,0.9018387
case_00548,0.97779757,0.8443264,0.8622877,0.89480394
case_00558,0.94686824,0.9253197,0.69060385,0.85426396
case_00562,0.9716207,0.8193921,0.84183675,0.87761647
case_00566,0.96279186,0.8746295,0.7807986,0.87274003
case_00571,0.93824583,0.8764958,0.7808258,0.86518914
