filename,class0,class1,class2,mean
case_00236,0.9525994,0.9525881,0.9714125,0.95886666
case_00207,0.29909718,0.6836623,0.9831169,0.6552921
case_00212,0.82974946,0.8296676,0.97904533,0.8794875
case_00295,0.83626485,0.8363879,0.976018,0.8828902
case_00547,0.14263333,0.16745278,0.9539759,0.42135403
case_00251,0.90058756,0.900619,0.95706457,0.91942376
case_00577,0.8605392,0.8978061,0.96983147,0.9093923
case_00548,0.6828467,0.8047299,0.9822376,0.82327145
case_00403,0.94743747,0.9369111,0.9743952,0.95291466
case_00450,0.9604092,0.96997124,0.97727376,0.9692181
case_00269,0.95241207,0.9447069,0.9786124,0.95857716
case_00201,0.6958853,0.69594806,0.97775304,0.78986216
case_00161,0.9209542,0.9041628,0.97744566,0.9341876
case_00043,0.81387293,0.8022423,0.9754987,0.8638713
case_00217,0.89790094,0.89115125,0.96775573,0.918936
case_00501,0.9245466,0.91427994,0.9678097,0.93554544
case_00190,0.92312306,0.9477894,0.979819,0.9502438
case_00409,0.94692093,0.9466404,0.98265773,0.9587397
case_00259,0.94784355,0.94783527,0.96103203,0.95223695
case_00105,0.42951974,0.43905205,0.82704306,0.5652049
case_00053,0.9261803,0.9262102,0.9732175,0.9418693
case_00489,0.94014364,0.9401765,0.9703625,0.9502275
case_00001,0.76229775,0.7490737,0.9674357,0.826269
case_00532,0.51482254,0.5478564,0.9705397,0.67773956
case_00571,0.8784416,0.8751427,0.976044,0.9098761
case_00049,0.874078,0.8734866,0.97015524,0.9059066
case_00080,0.9298141,0.9297969,0.98329264,0.9476345
case_00205,0.6604554,0.7667237,0.977401,0.8015267
case_00034,0.93322456,0.92801315,0.9806782,0.9473054
case_00263,0.91315985,0.9122544,0.9724255,0.9326132
case_00466,0.0,0.26945406,0.92603606,0.39849672
case_00091,0.85078746,0.85043806,0.9721362,0.8911206
case_00439,0.9254503,0.9302885,0.9786582,0.944799
case_00562,0.84338593,0.84914786,0.9795811,0.89070493
case_00052,0.9018932,0.9003204,0.9709933,0.9244023
case_00445,0.9253519,0.92533314,0.96726507,0.93931675
case_00264,0.8865596,0.88327354,0.96818537,0.9126728
case_00241,0.8674413,0.8664846,0.97871554,0.9042137
case_00013,0.9068611,0.9068912,0.97425616,0.92933625
case_00415,0.89444953,0.89442545,0.9761888,0.9216879
case_00088,0.9231757,0.92315966,0.954113,0.9334828
case_00487,0.8051948,0.805281,0.9702302,0.8602354
case_00273,0.7870747,0.7857684,0.9754676,0.84943694
case_00166,0.9233251,0.9233188,0.97675526,0.941133
case_00428,0.68006617,0.90364796,0.9710761,0.8515968
case_00581,0.89879316,0.8989247,0.98397785,0.92723185
case_00134,0.9397879,0.9227386,0.97176236,0.94476295
case_00406,0.93647236,0.93592244,0.97422093,0.9488719
case_00569,0.68873745,0.68804663,0.9814439,0.786076
case_00419,0.822193,0.8221348,0.9827469,0.8756916
case_00243,0.9236461,0.92400753,0.9808221,0.94282526
case_00054,0.802086,0.7881453,0.9764045,0.8555453
case_00463,0.0,0.0,0.9746189,0.32487297
case_00050,0.73359555,0.687209,0.97542757,0.798744
case_00174,0.811211,0.822945,0.9746814,0.86961246
case_00545,0.8770846,0.8769791,0.95571584,0.9032598
case_00189,0.94643825,0.9464275,0.9714566,0.95477414
case_00585,0.060606062,0.7952623,0.9611889,0.6056858
case_00187,0.9270145,0.92707974,0.95694333,0.9370125
case_00169,0.9096871,0.9096339,0.9752184,0.93151313
case_00058,0.9370112,0.9397614,0.9698803,0.9488843
case_00048,0.925953,0.92596865,0.9708565,0.940926
case_00444,0.5899089,0.6588906,0.9845987,0.74446607
case_00235,0.8984068,0.8846117,0.98052955,0.9211827
case_00252,0.96000934,0.9551742,0.97554827,0.9635773
case_00021,0.44496447,0.8068588,0.9718126,0.7412119
case_00413,0.77720064,0.8462162,0.96807563,0.86383086
case_00160,0.67708695,0.6770813,0.97325397,0.7758074
case_00276,0.8178303,0.81778383,0.975855,0.8704898
case_00543,0.9199472,0.9209325,0.96354336,0.9348077
case_00191,0.8975199,0.89735794,0.9713363,0.9220714
case_00485,0.85617435,0.8511466,0.9696717,0.8923309
case_00293,0.94050735,0.9404516,0.97800994,0.95298964
case_00513,0.9166957,0.8975948,0.974012,0.9294341
case_00443,0.8862184,0.8851882,0.977275,0.91622716
case_00257,0.78574693,0.8592431,0.960138,0.868376
case_00408,0.96727437,0.9661699,0.9808608,0.97143507
case_00149,0.9558455,0.9558708,0.97844017,0.9633854
case_00130,0.89552146,0.89019203,0.9636152,0.9164429
case_00151,0.94651484,0.94419706,0.95888853,0.9498668
case_00459,0.8538302,0.79891515,0.97731346,0.8766863
case_00099,0.9388124,0.9378582,0.9680877,0.94825274
case_00472,0.864926,0.86577696,0.97798854,0.9028971
case_00087,0.8760968,0.87612873,0.9769981,0.9097412
case_00558,0.9292932,0.9272848,0.9675941,0.9413907
case_00430,0.9546255,0.9529536,0.9571599,0.95491296
case_00214,0.0,0.13333334,0.9789943,0.3707759
case_00566,0.85583407,0.8476239,0.9650062,0.88948804
case_00121,0.0,0.5357775,0.964548,0.5001085
