filename,class0,class1,class2,mean
case_00236,0.93848234,0.9384949,0.95831865,0.94509864
case_00207,0.0,0.60485184,0.96687233,0.5239081
case_00212,0.7601201,0.7601201,0.9722117,0.8308173
case_00295,0.65227973,0.62144274,0.9673814,0.7470346
case_00547,0.0,0.20561907,0.95270634,0.3861085
case_00251,0.9100524,0.91008085,0.9399491,0.92002743
case_00577,0.8143621,0.8690679,0.9690466,0.88415885
case_00548,0.7792718,0.82217807,0.969304,0.8569179
case_00403,0.9216464,0.9169133,0.96060824,0.93305594
case_00450,0.09394762,0.95476705,0.9640681,0.6709276
case_00269,0.9342281,0.9269984,0.9612732,0.9408333
case_00201,0.73802394,0.73802394,0.968436,0.8148279
case_00161,0.916091,0.8944204,0.96162903,0.9240468
case_00043,0.89165527,0.89173543,0.96924764,0.9175461
case_00217,0.88555586,0.88171345,0.953828,0.9070325
case_00501,0.9267142,0.91305006,0.9593938,0.9330527
case_00190,0.92211884,0.9064031,0.97105277,0.9331916
case_00409,0.9325511,0.93142474,0.97337633,0.94578403
case_00259,0.9371876,0.93596345,0.9440288,0.93906
case_00105,0.92517996,0.92126817,0.96891785,0.93845534
case_00053,0.95547956,0.9554708,0.9713312,0.96076053
case_00489,0.9287234,0.9287544,0.9673838,0.9416205
case_00001,0.7023543,0.70251083,0.95470595,0.78652364
case_00532,0.81219435,0.754698,0.97062874,0.8458404
case_00571,0.8808325,0.87794006,0.9719568,0.9102431
case_00049,0.8699153,0.86986417,0.9615382,0.90043926
case_00080,0.8991216,0.8992472,0.96815044,0.9221731
case_00205,0.7586233,0.75873077,0.96665305,0.8280024
case_00034,0.8944208,0.8888761,0.9626316,0.9153094
case_00263,0.9057327,0.90504694,0.96404034,0.92493993
case_00466,0.09948909,0.2687799,0.91144073,0.4265699
case_00091,0.89645064,0.89643043,0.9634924,0.9187911
case_00439,0.92017627,0.92031014,0.9643953,0.93496054
case_00562,0.84510183,0.84954906,0.96963483,0.8880952
case_00052,0.91280013,0.91284406,0.958056,0.9279001
case_00445,0.9074637,0.907537,0.9632532,0.9260847
case_00264,0.8986492,0.89889127,0.96119595,0.9195788
case_00241,0.6333807,0.776413,0.9699674,0.7932537
case_00013,0.9176599,0.9177764,0.9612842,0.9322402
case_00415,0.90133846,0.9013007,0.9746127,0.9257507
case_00088,0.88873225,0.8886401,0.9424292,0.9066005
case_00487,0.83592933,0.83609194,0.9699977,0.880673
case_00273,0.8283429,0.8271233,0.9607248,0.87206364
case_00166,0.92329335,0.9232723,0.97149056,0.9393521
case_00428,0.6784518,0.8952426,0.962712,0.84546876
case_00581,0.85035145,0.8502107,0.96863,0.88973075
case_00134,0.93347293,0.9155631,0.96251774,0.9371846
case_00406,0.6166559,0.6306411,0.9323371,0.7265447
case_00569,0.6840412,0.6525606,0.9658526,0.76748484
case_00419,0.82361984,0.8236056,0.9739528,0.87372607
case_00243,0.9035972,0.9027875,0.96531045,0.9238984
case_00054,0.8440645,0.8289801,0.95984316,0.8776293
case_00463,0.0,0.0,0.962447,0.32081565
case_00050,0.7140842,0.67292005,0.96788585,0.78496337
case_00174,0.8439369,0.84401673,0.95787066,0.8819415
case_00545,0.86858815,0.8686499,0.95532763,0.8975219
case_00189,0.66913825,0.5263644,0.72452694,0.6400099
case_00585,0.7683482,0.8535907,0.9486692,0.8568694
case_00187,0.8928298,0.8928823,0.94578636,0.9104994
case_00169,0.8889074,0.8889397,0.96370924,0.91385204
case_00058,0.90981936,0.9235852,0.95928097,0.93089515
case_00048,0.9212813,0.92059505,0.9602981,0.9340581
case_00444,0.5535368,0.64258516,0.9745622,0.72356135
case_00235,0.88641936,0.87441117,0.97248054,0.9111037
case_00252,0.9443652,0.94078934,0.96000147,0.9483853
case_00021,0.9066399,0.8059831,0.95163256,0.8880852
case_00413,0.6263381,0.8757461,0.9610386,0.8210409
case_00160,0.8248769,0.82480127,0.9651183,0.8715989
case_00276,0.7487422,0.74889386,0.97159654,0.8230775
case_00543,0.94210964,0.9251997,0.965389,0.94423276
case_00191,0.89742994,0.89742994,0.96666193,0.92050725
case_00485,0.85165507,0.85005844,0.95696616,0.8862266
case_00293,0.93866223,0.93866575,0.9720597,0.9497959
case_00513,0.9145369,0.8926203,0.9659292,0.9243622
case_00443,0.8511376,0.85128635,0.9656407,0.8893549
case_00257,0.8674699,0.8706111,0.94794226,0.8953411
case_00408,0.9617241,0.96003616,0.9736231,0.96512777
case_00149,0.9388959,0.9389196,0.97262645,0.95014733
case_00130,0.81730187,0.87916064,0.95027614,0.8822462
case_00151,0.94154423,0.93961275,0.95602554,0.9457275
case_00459,0.81798404,0.7740331,0.96074325,0.85092014
