filename,class0,class1,class2,mean
case_00020,0.95727676,0.0,0.0,0.31909224
case_00021,0.95060104,0.89989746,0.6479843,0.83282757
case_00034,0.9626214,0.92200077,0.5180828,0.80090165
case_00050,0.96644,0.721598,0.60263807,0.7635587
case_00054,0.9589007,0.8470184,0.734188,0.8467024
case_00058,0.95260286,0.93084264,0.9329377,0.9387944
case_00099,0.9531081,0.79306066,0.0016510534,0.5826066
case_00102,0.9166478,0.956272,0.6575508,0.8434902
case_00105,0.9601989,0.93153626,0.7654416,0.88572556
case_00121,0.94626945,0.0,0.8340548,0.5934414
case_00130,0.93752974,0.9034447,0.17826086,0.6730785
case_00134,0.94765186,0.94336444,0.82728976,0.906102
case_00151,0.9340304,0.93382597,0.69275606,0.8535375
case_00161,0.9438179,0.89750767,0.8669891,0.90277153
case_00188,0.9647041,0.8667157,0.7180081,0.84980935
case_00190,0.9721611,0.9224072,0.9568898,0.950486
case_00214,0.96353126,0.46824116,0.7473426,0.7263717
case_00217,0.9440858,0.90372837,0.84972614,0.8991801
case_00235,0.9689489,0.8888309,0.5957109,0.81783026
case_00241,0.9402942,0.85273755,0.8663174,0.88644964
case_00243,0.9594951,0.9088107,0.85659915,0.90830165
case_00252,0.9420539,0.9515963,0.80742174,0.9003573
case_00257,0.94029844,0.76013863,0.87961686,0.86001796
case_00269,0.9561495,0.9362654,0.7899078,0.8941076
case_00270,0.9529565,0.9448807,0.86032176,0.9193863
case_00273,0.9535082,0.83720714,0.0,0.5969051
case_00403,0.9464196,0.8991282,0.9157724,0.92044
case_00408,0.9502394,0.9625975,0.7892866,0.9007079
case_00409,0.9534084,0.84022063,0.098855786,0.63082826
case_00413,0.95055467,0.747224,0.9262546,0.8746777
case_00428,0.95181584,0.6727859,0.84898365,0.82452846
case_00444,0.9670198,0.19871795,0.608532,0.5914233
case_00459,0.96117914,0.83910865,0.04260355,0.6142971
case_00472,0.86813956,0.8839577,0.8635815,0.8718929
case_00485,0.9249686,0.8265091,0.6453502,0.7989426
case_00513,0.95559835,0.9151082,0.8614312,0.91071254
case_00532,0.9466027,0.7655538,0.26977816,0.6606449
case_00543,0.9089027,0.9440529,0.90186733,0.91827434
case_00548,0.96791285,0.7734129,0.8418614,0.86106235
case_00558,0.93850774,0.9210811,0.7008294,0.8534727
case_00562,0.96363634,0.8364068,0.84276056,0.88093454
case_00566,0.95753306,0.79720414,0.8115016,0.85541296
case_00571,0.9385702,0.88108045,0.81376636,0.8778057
