filename,class0,class1,class2,mean
case_00236,0.91019714,0.6182102,nan,0.76420367
case_00207,0.9638915,0.045823786,nan,0.50485766
case_00212,0.97112375,0.8153429,nan,0.8932333
case_00295,0.960706,0.770803,nan,0.8657545
case_00547,0.96309865,0.23510875,nan,0.5991037
case_00251,0.93685293,0.90900636,nan,0.92292964
case_00577,0.93862647,0.85664684,nan,0.89763665
case_00548,0.96791285,0.7734129,0.8418614,0.86106235
case_00403,0.9464196,0.8991282,0.9157724,0.92044
case_00450,0.95763326,0.69366354,nan,0.8256484
case_00269,0.9561495,0.9362654,0.7899078,0.8941076
case_00201,0.96688545,0.77257967,nan,0.86973256
case_00161,0.9438179,0.89750767,0.8669891,0.90277153
case_00043,0.96798015,0.88256955,nan,0.92527485
case_00217,0.9440858,0.90372837,0.84972614,0.8991801
case_00501,0.9540182,0.9124833,nan,0.9332507
case_00190,0.9721611,0.9224072,0.9568898,0.950486
case_00409,0.9534084,0.84022063,0.098855786,0.63082826
case_00259,0.94107527,0.936775,nan,0.93892515
case_00105,0.9601989,0.93153626,0.7654416,0.88572556
case_00053,0.9649746,0.95430803,nan,0.95964134
case_00489,0.950963,0.93557477,nan,0.9432689
case_00001,0.95410806,0.76216966,nan,0.85813886
case_00532,0.9466027,0.7655538,0.26977816,0.6606449
case_00571,0.9385702,0.88108045,0.81376636,0.8778057
case_00049,0.95690906,0.8391089,nan,0.89800894
case_00080,0.96479964,0.92269635,nan,0.943748
case_00205,0.95884144,0.67799664,nan,0.81841904
case_00034,0.9626214,0.92200077,0.5180828,0.80090165
case_00263,0.92978853,0.92413414,nan,0.9269613
case_00466,0.9142483,0.39776754,nan,0.6560079
case_00091,0.96153516,0.892821,nan,0.9271781
case_00439,0.95832384,0.91683483,nan,0.93757933
case_00562,0.96363634,0.8364068,0.84276056,0.88093454
case_00052,0.95657736,0.90921915,nan,0.9328983
case_00445,0.9535947,0.91886467,nan,0.9362297
case_00264,0.96293163,0.8807975,nan,0.92186457
case_00241,0.9402942,0.85273755,0.8663174,0.88644964
case_00013,0.95116824,0.91087043,nan,0.9310193
case_00415,0.9715403,0.8960412,nan,0.93379074
case_00088,0.7923514,0.915459,nan,0.8539052
case_00487,0.96287674,0.79731,nan,0.88009334
case_00273,0.9535082,0.83720714,0.0,0.5969051
case_00166,0.95747864,0.91881186,nan,0.9381453
case_00428,0.95181584,0.6727859,0.84898365,0.82452846
case_00581,0.9713254,0.8807116,nan,0.9260185
case_00134,0.94765186,0.94336444,0.82728976,0.906102
case_00406,0.96882,0.93961465,nan,0.9542173
case_00569,0.96658987,0.67365664,nan,0.82012326
case_00419,0.95054066,0.8226305,nan,0.8865856
case_00243,0.9594951,0.9088107,0.85659915,0.90830165
case_00054,0.9589007,0.8470184,0.734188,0.8467024
case_00463,0.95891887,0.0,nan,0.47945943
case_00050,0.96644,0.721598,0.60263807,0.7635587
case_00174,0.95216733,0.86725396,nan,0.90971065
case_00545,0.8204642,0.86404616,nan,0.8422552
case_00189,0.92127633,0.6169661,nan,0.7691212
case_00585,0.9544542,0.6890414,nan,0.8217478
case_00187,0.938653,0.9345224,nan,0.9365877
case_00169,0.9608053,0.8866429,nan,0.92372406
case_00058,0.95260286,0.93084264,0.9329377,0.9387944
case_00048,0.95647323,0.91433096,nan,0.9354021
case_00444,0.9670198,0.19871795,0.608532,0.5914233
case_00235,0.9689489,0.8888309,0.5957109,0.81783026
case_00252,0.9420539,0.9515963,0.80742174,0.9003573
case_00021,0.95060104,0.89989746,0.6479843,0.83282757
case_00413,0.95055467,0.747224,0.9262546,0.8746777
case_00160,0.91953164,0.7181049,nan,0.8188183
case_00276,0.9659034,0.8112717,nan,0.8885876
case_00543,0.9089027,0.9440529,0.90186733,0.91827434
case_00191,0.9697596,0.885928,nan,0.9278438
case_00485,0.9249686,0.8265091,0.6453502,0.7989426
case_00293,0.93927675,0.93847567,nan,0.9388762
case_00513,0.95559835,0.9151082,0.8614312,0.91071254
case_00443,0.9663205,0.86900365,nan,0.9176621
case_00257,0.94029844,0.76013863,0.87961686,0.86001796
case_00408,0.9502394,0.9625975,0.7892866,0.9007079
case_00149,0.96046066,0.95020694,nan,0.9553338
case_00130,0.93752974,0.9034447,0.17826086,0.6730785
case_00151,0.9340304,0.93382597,0.69275606,0.8535375
case_00459,0.96117914,0.83910865,0.04260355,0.6142971
case_00099,0.9531081,0.79306066,0.0016510534,0.5826066
case_00472,0.86813956,0.8839577,0.8635815,0.8718929
case_00087,0.956825,0.8741553,nan,0.91549015
case_00558,0.93850774,0.9210811,0.7008294,0.8534727
case_00430,0.89545125,0.95235485,nan,0.92390305
case_00214,0.96353126,0.46824116,0.7473426,0.7263717
case_00566,0.95753306,0.79720414,0.8115016,0.85541296
case_00121,0.94626945,0.0,0.8340548,0.5934414
case_00588,0.9436207,0.92359227,nan,0.9336065
case_00020,0.95727676,0.0,0.0,0.31909224
case_00188,0.9647041,0.8667157,0.7180081,0.84980935
case_00071,0.95402265,0.7711855,nan,0.8626041
case_00106,0.96558094,0.8024791,nan,0.88403
case_00270,0.9529565,0.9448807,0.86032176,0.9193863
case_00448,0.9718341,0.0,nan,0.48591706
case_00535,0.9636702,0.938766,nan,0.9512181
case_00102,0.9166478,0.956272,0.6575508,0.8434902
