filename,class0,class1,class2,mean
case_00236,0.02981776,0.030522946,0.03276602,0.031035578
case_00207,0.0009120745,0.0013287356,0.0037877257,0.002009512
case_00212,0.0007789517,0.00090190273,0.0029194674,0.0015334407
case_00295,0.0011768637,0.0013076407,0.0032548371,0.0019131139
case_00547,0.00094388594,0.0002677022,0.0028769625,0.0013628503
case_00251,0.0006135284,0.000704243,0.0024453031,0.0012543582
case_00577,0.0019888254,0.0014169848,0.0026467433,0.0020175178
case_00548,0.00089192257,0.0010767862,0.0030597763,0.0016761618
case_00403,0.0011606356,0.001617051,0.003606437,0.0021280411
case_00450,0.003010157,0.0013229228,0.0032620912,0.0025317238
case_00269,0.0011368461,0.0013173969,0.003754181,0.002069475
case_00201,0.00075980095,0.00091174105,0.0027973978,0.0014896466
case_00161,0.00075096916,0.0009697438,0.0029516811,0.0015574647
case_00043,0.001129455,0.0012864376,0.0035381257,0.0019846729
case_00217,0.00094521465,0.0011176968,0.0035166366,0.0018598493
case_00501,0.0012171085,0.0013945455,0.003834524,0.002148726
case_00190,0.0010252589,0.0012665828,0.0033471133,0.0018796517
case_00409,0.0076471185,0.01028811,0.0123777995,0.010104342
case_00259,0.00094329566,0.0011058005,0.0030000734,0.0016830565
case_00105,0.0012270354,0.0013833744,0.0034421668,0.0020175257
case_00053,0.0007330216,0.0008769187,0.002652587,0.0014208425
case_00489,0.0020606425,0.002220656,0.0032697003,0.0025169996
case_00001,0.0008766319,0.0010002907,0.0031180966,0.0016650064
case_00532,0.0012227737,0.0013274256,0.0028602686,0.0018034893
case_00571,0.00152525,0.0016642285,0.00236829,0.0018525895
case_00049,0.0010194012,0.0011482529,0.0033260842,0.0018312462
case_00080,0.0009830222,0.0010799138,0.002960718,0.0016745512
case_00205,0.0009294732,0.0010483193,0.0030033197,0.0016603707
case_00034,0.0014230778,0.00158428,0.00416313,0.0023901628
case_00263,0.0017922606,0.0019827932,0.0033089507,0.0023613349
case_00466,0.0019248972,0.003516497,0.0057308236,0.0037240728
case_00091,0.0010652563,0.0012241974,0.0035616595,0.0019503711
case_00439,0.0010716134,0.0011978423,0.0027865227,0.0016853261
case_00562,0.0010425235,0.0011632954,0.003423584,0.0018764675
case_00052,0.0012169952,0.0014169561,0.0035305358,0.002054829
case_00445,0.0013363354,0.0014670942,0.0025637683,0.001789066
case_00264,0.0008958706,0.0010517901,0.0027574927,0.0015683845
case_00241,0.0020204082,0.0027634988,0.0036034433,0.0027957836
case_00013,0.00062932656,0.00073555316,0.0022739077,0.0012129291
case_00415,0.0011611464,0.0012809187,0.0031142638,0.0018521097
case_00088,0.0025070366,0.0026249546,0.0016268427,0.0022529445
case_00487,0.0009872445,0.0011169293,0.0027984648,0.0016342128
case_00273,0.00085789966,0.0009566055,0.0019759526,0.0012634859
case_00166,0.0008368425,0.00097525597,0.0027019253,0.0015046746
case_00428,0.00018891423,0.0011814217,0.0028154822,0.0013952727
case_00581,0.0007224471,0.00084537396,0.0027374579,0.001435093
case_00134,0.0010639603,0.0011766995,0.0030840992,0.0017749196
case_00406,0.0013279361,0.0014904549,0.0039221477,0.0022468462
case_00569,0.00043058067,0.0005396298,0.0017360743,0.0009020949
case_00419,0.0015137766,0.0016651672,0.002626211,0.0019350516
case_00243,0.0013113272,0.0014472407,0.0035934763,0.0021173481
case_00054,0.0012384031,0.0014657702,0.0037971807,0.002167118
case_00463,0.0005074418,0.00064118707,0.0028817211,0.00134345
case_00050,0.00058862637,0.000634834,0.0021665958,0.0011300187
case_00174,0.0005153467,0.00059804594,0.0019716613,0.0010283514
case_00545,0.010669207,0.010489209,0.0023808612,0.007846425
case_00189,0.023628786,0.07051859,0.07187667,0.055341348
case_00585,0.00095556024,0.001055001,0.0038239541,0.0019448384
case_00187,0.0012265993,0.001320353,0.002967714,0.0018382221
case_00169,0.0008864394,0.0010116715,0.003115356,0.0016711556
case_00058,0.0015171994,0.0019442663,0.0041473648,0.0025362768
case_00048,0.0019715265,0.0022164078,0.005298752,0.0031622287
case_00444,0.00073331606,0.0008736797,0.0024349887,0.0013473282
case_00235,0.0011473168,0.0013216722,0.0037916044,0.0020868646
case_00252,0.0010607869,0.001223643,0.0027554068,0.0016799456
case_00021,0.0006948823,0.000901693,0.0023218815,0.0013061523
case_00413,0.000718179,0.0009653585,0.0036190334,0.0017675236
case_00160,0.0024626332,0.002564059,0.0021331345,0.002386609
case_00276,0.0010320336,0.0011852978,0.0035226278,0.0019133197
case_00543,0.003338971,0.0036946547,0.0031719657,0.0034018636
case_00191,0.0008655638,0.0009982052,0.0031579675,0.0016739122
case_00485,0.0036785754,0.0039832075,0.0034900147,0.003717266
case_00293,0.00079359236,0.0008996204,0.0022819175,0.0013250434
case_00513,0.001141237,0.0014492929,0.0036988908,0.0020964735
case_00443,0.0010861637,0.0013207344,0.0036000349,0.002002311
case_00257,0.0005436473,0.0005276771,0.0019285498,0.0009999581
case_00408,0.0031878678,0.0033756213,0.00402769,0.0035303931
case_00149,0.0015503591,0.0016710135,0.0028757278,0.0020323668
case_00130,0.0004542226,0.00056873524,0.0019730248,0.0009986609
case_00151,0.0025906824,0.0028890946,0.0046216976,0.0033671584
case_00459,0.00082391483,0.0010223504,0.0026117996,0.0014860217
case_00099,0.0010456545,0.001122643,0.0030016338,0.0017233104
case_00472,0.0034047791,0.003580779,0.003464968,0.0034835087
case_00087,0.00071428035,0.0008026992,0.0021717793,0.0012295862
case_00558,0.0030333486,0.003183947,0.003225957,0.0031477509
case_00430,0.0039086733,0.0041160155,0.0044124327,0.0041457075
case_00214,0.0011800758,0.0013486615,0.0037751202,0.0021012858
case_00566,0.0009104123,0.0010163382,0.0028964125,0.0016077211
case_00121,0.00044227688,0.000567895,0.0025020589,0.0011707436
case_00588,0.0005793471,0.0006621799,0.002532375,0.0012579673
case_00020,0.0006646422,0.0007766829,0.0034873902,0.0016429052
case_00188,0.00073188334,0.000853685,0.0025961164,0.001393895
case_00071,0.00080890895,0.00091027777,0.0025288751,0.0014160207
case_00106,0.0010686744,0.0011940227,0.0036225875,0.0019617614
case_00270,0.001286377,0.0013991287,0.0033362524,0.0020072528
case_00448,0.0020647726,0.0014224278,0.0039135898,0.00246693
case_00535,0.0014694121,0.0016289911,0.0038075943,0.0023019991
